,total_cpu,total_mem,gazebo_cpu,gazebo_mem,UAV_1_sup_cpu,UAV_1_sup_mem,UAV_2_sup_cpu,UAV_2_sup_mem,pioneer3at_1_sup_cpu,pioneer3at_1_sup_mem,pioneer3at_2_sup_cpu,pioneer3at_2_sup_mem
0.0,62.0,52.2,0.0,7.124925615500216,0.0,1.141033011588853,,,0.0,1.1479923749583951,,
11.2,92.7,67.3,29.475,10.776170736381331,7.9,1.1607007776332112,,,7.425,1.1703329399780125,,
12.38,98.8,66.8,40.849999999999994,10.822213480992868,0.6,1.1607007776332112,,,0.6,1.1703329399780125,,
13.505,98.9,66.7,36.275000000000006,10.832450805369804,1.05,1.1612050793266564,,,0.7,1.1703329399780125,,
14.69,98.7,67.3,35.05,11.281128022027897,0.65,1.1612050793266564,,,0.65,1.1703329399780125,,
15.785,98.0,67.8,36.7,11.489959353283508,0.65,1.1612050793266564,,,0.675,1.1703329399780125,,
16.94,97.8,68.9,35.65,11.973735967805379,0.325,1.1612050793266564,,,0.625,1.1703329399780125,,
18.105,98.8,67.9,25.0,11.537464572806035,0.3,1.1612555094960009,,,0.3,1.1703329399780125,,
19.135,97.8,68.1,25.45,11.537464572806035,0.55,1.1612555094960009,,,0.275,1.1703329399780125,,
20.17,98.9,68.1,31.075000000000003,11.53761586331407,0.275,1.1612555094960009,,,0.275,1.1703329399780125,,
21.31,98.9,68.6,29.55,11.8238575045135,0.575,1.1612555094960009,,,0.575,1.1703329399780125,,
22.41,99.1,68.5,28.475,11.8238575045135,0.3,1.1612555094960009,,,0.575,1.1703329399780125,,
23.61,98.0,68.7,30.0,11.991941258938748,0.675,1.1612555094960009,,,0.325,1.1703329399780125,,
24.69,98.7,68.5,32.45,11.787749503262832,0.425,1.1612555094960009,,,0.425,1.1703329399780125,,
25.96,98.6,68.7,26.775,11.826782454335483,0.7,1.1612555094960009,,,0.7,1.1703329399780125,,
27.21,99.1,68.7,29.55,11.788001654109554,0.3,1.1612555094960009,,,0.6,1.1703329399780125,,
28.245,98.4,68.8,26.725,11.788052084278899,0.325,1.1612555094960009,,,0.325,1.1703329399780125,,
29.335,97.9,68.9,25.45,11.796423492390087,0.6,1.1612555094960009,,,0.6,1.1703329399780125,,
30.39,97.8,68.8,25.525,11.84276881801769,0.275,1.1612555094960009,,,0.55,1.1703329399780125,,
31.475,97.7,69.0,27.549999999999997,11.844029572251303,0.55,1.1612555094960009,,,0.275,1.1703329399780125,,
32.645,98.8,69.0,26.125,11.844584304114093,0.6,1.1612555094960009,,,0.6,1.1703329399780125,,
33.695,98.6,69.0,25.05,11.844685164452782,0.35,1.1612555094960009,,,0.35,1.1703329399780125,,
34.825,98.6,69.1,24.3,11.844685164452782,0.55,1.1612555094960009,,,0.275,1.1703329399780125,,
35.995,97.7,68.8,26.5,11.844735594622126,0.5,1.1612555094960009,,,0.5,1.1703329399780125,,
37.04,98.0,68.8,24.675,11.844735594622126,0.25,1.1612555094960009,,,0.25,1.1703329399780125,,
38.13,98.4,68.7,24.65,11.844735594622126,0.45,1.1612555094960009,,,3.475,1.1716945545503141,,
39.28,99.0,68.8,22.1,11.844735594622126,0.2,1.1612555094960009,,,5.325,1.1721484260744148,,
40.345,99.3,68.8,24.25,11.844735594622126,0.65,1.1612555094960009,,,5.95,1.173358750138683,,
41.48,97.9,69.0,28.9,11.844735594622126,0.35,1.1612555094960009,,,0.35,1.173358750138683,,
42.615,98.4,68.9,26.424999999999997,11.844836454960816,0.525,1.1612555094960009,,,0.525,1.173358750138683,,
43.74,98.0,68.8,25.4,11.844836454960816,0.5,1.1612555094960009,,,0.5,1.173358750138683,,
44.895,97.8,69.0,26.325,11.844836454960816,0.5,1.1612555094960009,,,0.5,1.173358750138683,,
46.015,98.3,68.9,25.25,11.844836454960816,0.25,1.1612555094960009,,,0.475,1.173358750138683,,
47.14,99.2,69.0,26.225,11.844836454960816,0.55,1.1612555094960009,,,0.525,1.173358750138683,,
48.19,98.3,69.0,24.875,11.84488688513016,0.25,1.1612555094960009,,,0.25,1.173358750138683,,
49.265,98.3,69.1,25.975,11.84488688513016,0.475,1.1612555094960009,,,0.475,1.173358750138683,,
