,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
0.11,,pioneer3at_1,0,2,0,None,0,[],100,None,0,[],100
24.455,,UAV_1,0,2,0,None,0,"[3.014860543900468, 1.0378524904694824, 0.0]",100.0,None,0,"[0.9979721006792368, 0.999160737001121, 0.6572261339995884]",100.0
38.545,,,0,2,0,None,0,"[3.0218896399404134, 1.0515199498563104, 0.0]",100.0,None,0,"[0.9975852663767977, 0.9989276110251759, 0.6571942948710365]",100.0
55.165,,,0,2,0,None,0,"[3.031038716046716, 1.0666679318117414, 0.0]",100.0,None,0,"[0.9975528985998746, 0.9985019940823959, 0.6572606976386982]",100.0
71.64,,,0,2,0,None,0,"[3.041167154944226, 1.081198609344211, 0.0]",100.0,None,0,"[0.9976844942583937, 0.9980470220490765, 0.6571872979992395]",100.0
87.275,,,0,2,0,None,0,"[3.051796317118896, 1.0946841796886722, 0.0]",100.0,None,0,"[0.9973968652976286, 0.9979043374780573, 0.6572281165333189]",100.0
102.93,,,0,2,0,None,0,"[3.0634691502809046, 1.1080317269686744, 0.0]",100.0,None,0,"[0.9973756811103653, 0.9977183887311374, 0.6572634481973915]",100.0
117.97,,,0,2,0,None,0,"[3.080893375692518, 1.1274877804023453, 0.0]",100.0,None,0,"[0.9971979273123907, 0.9975563076830187, 0.6571973166461135]",100.0
133.005,,,0,2,0,None,0,"[3.103242643098649, 1.1490923993268065, 0.0]",100.0,None,0,"[0.9971835814646375, 0.9977279706624723, 0.6571964155426324]",100.0
147.345,,,0,2,0,None,0,"[3.122525837493372, 1.1674937954196818, 0.0]",100.0,None,0,"[0.9970367584124427, 0.997897785973649, 0.6572578793250726]",100.0
161.425,,,0,2,0,None,0,"[3.129865748146737, 1.1782599567283933, 0.0]",100.0,None,0,"[0.9971547114763255, 0.9981465822825825, 0.6572260353872967]",100.0
174.99,,,0,2,0,None,0,"[3.131593495093481, 1.1842863745152923, 0.0]",100.0,None,0,"[0.9970792332527295, 0.9982212969478891, 0.6572516154716206]",100.0
190.455,,,0,2,0,None,0,"[3.1372314656709475, 1.1877920451965644, 0.0]",100.0,None,0,"[0.9966268814598138, 0.997726205375343, 0.6572565477947507]",100.0
205.335,,,0,2,0,None,0,"[3.1331954674441715, 1.180179896675221, 0.0]",100.0,None,0,"[0.996283442914247, 0.9974783114030619, 0.6572559174181735]",100.0
219.525,,,0,2,0,None,0,"[3.1245360418352273, 1.1759439977882562, 0.0]",100.0,None,0,"[0.9958109998280696, 0.9977444502783457, 0.6572506079017517]",100.0
222.59,,,1,2,0,None,0,"[3.1229163477344373, 1.1755582829339961, 0.0]",100.0,None,0,"[0.995779590183568, 0.9978245419802798, 0.6572501347832564]",100.0
225.065,on_gs,pioneer3at_1,1,2,0,None,0,"[3.1234220679739053, 1.1756514239644373, 0.0]",100.0,None,0,"[0.9957981897780055, 0.9978476928790396, 0.6572503323394085]",100.0
225.945,on_vs,pioneer3at_1,1,2,0,None,0,"[3.1235440988891647, 1.1756267828991618, 0.0]",100.0,None,0,"[0.9957804359083023, 0.9978920781415485, 0.6572179902855786]",100.0
229.885,st_exp,pioneer3at_1,1,2,0,exploration,0,"[3.151007119589147, 1.1584225320474828, 0.0]",100.0,None,0,"[0.9958189231556599, 0.9978126980663152, 0.6571746156956108]",100.0
241.505,,,1,2,0,exploration,0,"[7.200008955406066, 2.5956179218236426, 0.0]",98.80570220947266,None,0,"[0.9957095753722671, 0.9981335659487933, 0.6572242275070002]",100.0
