,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.165,,pioneer3at_1,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
6.415,,pioneer3at_2,0,4,0,None,0,"[3.0021663866452797, 1.0110362181005101, 0.0]",100,None,0,"[2.9989337745550477, 2.9847730632794365, 0.0]",100,None,0,"[0.9966770020544308, 0.9988509995590272, 0.6572535230806047]",100,None,0,"[0.9639816056138917, 2.963164048643723, 0.6814907026575532]",100
19.345,,,0,4,0,None,0,"[3.012295298793622, 1.032458212935492, 0.0]",100.0,None,0,"[2.9954653846808474, 2.969720857435825, 0.0]",100.0,None,0,"[0.9960712271395362, 0.9983183538911161, 0.6572313898596389]",100.0,None,0,"[0.9651094936666843, 2.9625051479104085, 0.6814179939061019]",100.0
30.93,,,0,4,0,None,0,"[3.0178187087069066, 1.044019083967109, 0.0]",100.0,None,0,"[2.992463558930416, 2.9563409653681694, 0.0]",100.0,None,0,"[0.9958315401243973, 0.9983690707070627, 0.6572174255175308]",100.0,None,0,"[0.9663591882074565, 2.962335921386249, 0.6814467711961769]",100.0
42.535,,,1,4,0,None,0,"[3.0238050533966514, 1.0550306673973018, 0.0]",100.0,None,0,"[2.9903618379401644, 2.9424916760802518, 0.0]",100.0,None,0,"[0.9956723986215296, 0.9983680753439784, 0.6572089419229595]",100.0,None,0,"[0.9677467452668053, 2.9620367286907316, 0.6814718284546021]",100.0
47.225,uav_st_assess,UAV_2,1,4,0,None,0,"[3.0263730230784924, 1.0593626465738861, 0.0]",100.0,None,0,"[2.9897961267072843, 2.936408639411373, 0.0]",100.0,None,0,"[0.9955654134909327, 0.9985907215412857, 0.6572662595724263]",100.0,assessment,0,"[1.0043941197495605, 2.967026962299536, 1.4862503390339175]",100.0
59.41,,,1,4,0,None,0,"[3.033338019740689, 1.0702553712929683, 0.0]",100.0,None,0,"[2.9864933439159156, 2.9206229953767395, 0.0]",100.0,None,0,"[0.9958037404560695, 0.9984487043629438, 0.6572163556109122]",100.0,assessment,0,"[0.9663638846853788, 2.963157616068211, 4.500543756551725]",99.5199966430664
60.37,,,2,4,0,None,0,"[3.033997080587876, 1.071201640761895, 0.0]",100.0,None,0,"[2.9858928618361404, 2.9194946610912296, 0.0]",100.0,None,0,"[0.995739937421277, 0.9984437677200091, 0.6571934194386416]",100.0,assessment,0,"[0.9657442832285935, 2.9661317903402296, 4.497787636694667]",99.02400207519531
63.49,uav_st_assess,UAV_1,2,4,0,None,0,"[3.0358818748445384, 1.073936990727252, 0.0]",100.0,None,0,"[2.984307829797596, 2.916111390054908, 0.0]",100.0,assessment,0,"[1.0299789776904167, 0.9998026828474441, 1.4870444080772778]",100.0,assessment,0,"[2.2292833393329072, 2.961763612470636, 4.497440372778094]",99.02400207519531
78.03,,,2,4,0,None,0,"[3.0452073809511395, 1.0865719018424937, 0.0]",100.0,None,0,"[2.976853601787915, 2.901588118099626, 0.0]",100.0,assessment,0,"[0.9963138599003656, 0.9981745646068324, 4.486012700823112]",99.35199737548828,assessment,0,"[6.7327602053113, 2.8815891836262497, 4.497090569516566]",98.23999786376953
92.605,,,2,4,0,None,0,"[3.0554753082398083, 1.0990233795930346, 0.0]",100.0,None,0,"[2.94311026621799, 2.8560331663108416, 0.0]",100.0,assessment,0,"[2.099741752269496, 5.082708080573561, 4.4837890976587635]",98.1520004272461,assessment,0,"[12.184692633567215, 2.804150829765512, 4.502544034573333]",96.66400146484375
