,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.08,,pioneer3at_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
8.415,,UAV_2,0,4,0,None,0,"[3.00509829459849, 1.0178511790646423, 0.0]",100,None,0,"[2.998889727409715, 2.984403627337226, 0.0]",100,None,0,"[0.9969321884275516, 0.9983349323026713, 0.6572566997872661]",100,None,0,"[0.9754296090522456, 2.9731868809197257, 0.68200171194221]",100
22.535,,,0,4,0,None,0,"[3.014470325534028, 1.0372185744683726, 0.0]",100.0,None,0,"[2.995028504318339, 2.968006011663292, 0.0]",100.0,None,0,"[0.9964802522722013, 0.9976042446987964, 0.6572093661801893]",100.0,None,0,"[0.9768304833538032, 2.9731743209518418, 0.6819850255982122]",100.0
36.3,,,0,4,0,None,0,"[3.0213238742799007, 1.0505973690707953, 0.0]",100.0,None,0,"[2.9916188694444465, 2.9522161134258136, 0.0]",100.0,None,0,"[0.99634761014098, 0.9966168522446293, 0.6572502640008097]",100.0,None,0,"[0.978392476319533, 2.972999596689442, 0.6820183003600461]",100.0
48.11,,,0,4,0,None,0,"[3.027712923569319, 1.0615509960927467, 0.0]",100.0,None,0,"[2.9898642277630416, 2.9374490337258408, 0.0]",100.0,None,0,"[0.9957881126995907, 0.9960586175239629, 0.6572273515490857]",100.0,None,0,"[0.9792617081511252, 2.972873120816261, 0.6820295536694945]",100.0
51.495,uav_st_assess,UAV_2,1,4,0,None,0,"[3.029645893074377, 1.0645976921851743, 0.0]",100.0,None,0,"[2.989756799124349, 2.9328514740910467, 0.0]",100.0,None,0,"[0.9956845104899521, 0.9961200391438929, 0.6570199288461043]",100.0,assessment,0,"[1.0120675198720623, 2.988939770783964, 1.4906834161191176]",99.8479995727539
54.035,,,2,4,0,None,0,"[3.031093338790183, 1.0668702144512037, 0.0]",100.0,None,0,"[2.9895780926560676, 2.929120241808877, 0.0]",100.0,None,0,"[0.9955484041492271, 0.9961385011784797, 0.6572259633042875]",100.0,assessment,0,"[1.019546163616598, 2.9645732531210327, 1.9117622119856494]",99.8479995727539
55.19,on_vs,pioneer3at_2,2,4,0,None,0,"[3.0317960682924894, 1.067913916339826, 0.0]",100.0,None,0,"[2.9893676927995187, 2.927470009157427, 0.0]",100.0,None,0,"[0.9954700021857568, 0.9962007938313076, 0.6572517609787957]",100.0,assessment,0,"[0.9816643868045837, 2.9590692223166752, 2.5125446611238704]",99.8479995727539
58.71,st_app,pioneer3at_2,2,4,0,None,0,"[3.0338767687822465, 1.0710245920286248, 0.0]",100.0,approach,0,"[3.2787044010802906, 2.8279089087057017, 0.0]",100.0,None,0,"[0.9953752979217704, 0.9963035316846868, 0.6572401798456607]",100.0,assessment,0,"[0.9785962948216581, 2.982317144982002, 3.5459187114407222]",99.8479995727539
72.32,,,3,4,0,None,0,"[3.0424188500718827, 1.0829479996045879, 0.0]",100.0,approach,0,"[7.808232393087763, 5.674476232539396, 0.0]",98.87920379638672,None,0,"[0.9954508984063257, 0.9962636394402222, 0.6572641836045873]",100.0,assessment,0,"[3.1976194281791495, 2.953544200060104, 4.501734415193236]",98.57599639892578
73.19,on_gs,pioneer3at_1,3,4,0,None,0,"[3.042944411638864, 1.0836398145738468, 0.0]",100.0,approach,0,"[8.01621976357374, 5.922287437113493, 0.0]",98.87920379638672,None,0,"[0.9954150669289058, 0.9962507347188762, 0.6572504749253756]",100.0,assessment,0,"[3.2817233888969106, 2.9534370772494842, 4.501884664789597]",98.57599639892578
73.605,on_vs,pioneer3at_1,3,4,0,None,0,"[3.043271469979733, 1.0840437658038622, 0.0]",100.0,approach,0,"[8.145609277312241, 6.079039978990058, 0.0]",98.87920379638672,None,0,"[0.9954170988410155, 0.9962956557597243, 0.6572503610531951]",100.0,assessment,0,"[3.4668622552561286, 2.951840049935367, 4.498562331594885]",98.57599639892578
77.34,st_app,pioneer3at_1,3,4,0,approach,0,"[4.065604078509649, 1.0249962955985923, 0.0]",100.0,approach,0,"[8.379835016785073, 6.358504391209103, 0.0]",98.87920379638672,None,0,"[0.9952271217136066, 0.9963311001655355, 0.6572515605580871]",100.0,assessment,0,"[5.081858127285855, 2.937917369152345, 4.503406396153963]",98.57599639892578
88.58,,,4,4,0,approach,0,"[8.135219989343106, 1.9830546621485994, 0.0]",99.46900177001953,approach,0,"[10.489308330921228, 8.683468636194016, 0.0]",98.13919830322266,None,0,"[0.9936649384779718, 0.9960388713012799, 0.6572369610596345]",100.0,assessment,0,"[8.872863957498849, 2.9049433075618554, 4.501426042999783]",97.78399658203125
89.63,uav_on_vs,UAV_1,4,4,0,approach,0,"[8.538192706682784, 2.1239494829632553, 0.0]",99.46900177001953,approach,0,"[10.749893059026395, 9.019075319799947, 0.0]",98.13919830322266,None,0,"[0.9936596018043075, 0.9960373180998351, 0.6572389729952917]",100.0,assessment,0,"[9.627457813565476, 2.8983582320830243, 4.506267928905887]",97.78399658203125
93.94,uav_st_v_search,UAV_1,4,4,0,approach,0,"[10.233180266499238, 2.584590603217477, 0.0]",98.67900085449219,approach,0,"[11.733790544145865, 10.436000891630576, 0.0]",97.39920043945312,victim search,0,"[1.0086627808210908, 0.9983706422842767, 1.4889016343047703]",99.9197998046875,assessment,0,"[10.966414554513323, 2.8866752563858533, 4.506812242060724]",96.99199676513672
109.76,,,4,4,0,approach,0,"[16.61068443511006, 3.5565891241555874, 0.0]",97.88899993896484,approach,0,"[11.935639567131961, 10.714559914529845, 0.0]",96.6592025756836,victim search,0,"[3.378592027344133, 5.987354650541162, 1.6262379956230157]",99.16580200195312,assessment,0,"[16.464253137010477, 2.8386983525610345, 4.508998136023902]",96.20800018310547
124.935,,,4,4,0,approach,0,"[22.771441192810755, 4.514323243892995, 0.0]",96.30899810791016,approach,0,"[14.701084581706754, 12.479128147251766, 0.0]",95.17919921875,victim search,0,"[5.74926292864994, 11.004828253507625, 1.7562636521566177]",97.393798828125,assessment,0,"[22.245875313244664, 2.7882442476345433, 4.5070224529628655]",94.63200378417969
138.96,end_app,pioneer3at_2,4,4,0,approach,0,"[28.453329756626637, 5.392811230215948, 0.0]",95.51899719238281,None,0,"[16.09462406944454, 15.622947031039377, 0.0]",94.43920135498047,victim search,0,"[7.92014450694406, 15.599724342462224, 1.8844288071209092]",96.5197982788086,assessment,0,"[27.506630428966197, 2.7423366426111735, 4.513839383153088]",93.8479995727539
140.885,,,3,4,0,approach,0,"[29.22411568806386, 5.489895580038773, 0.0]",94.72899627685547,None,1,"[16.099457270417915, 15.620230965731103, 0.0]",93.96330261230469,victim search,0,"[8.14249874263408, 16.070191324520742, 1.8902835634059638]",96.5197982788086,assessment,0,"[28.55744240562409, 2.7331661300997445, 4.513974870874281]",93.08000183105469
140.905,off_vs,pioneer3at_2,3,4,0,approach,0,"[29.22411568806386, 5.489895580038773, 0.0]",94.72899627685547,None,1,"[16.09963342311925, 15.620145806350882, 0.0]",93.96330261230469,victim search,0,"[8.14356202009619, 16.072443852874503, 1.8904415833682637]",96.5197982788086,assessment,0,"[28.564489248677695, 2.733104663984104, 4.51395159940863]",93.08000183105469
141.205,,,4,4,0,approach,0,"[29.34607371868483, 5.505585312873584, 0.0]",94.72899627685547,None,1,"[16.10059084278267, 15.619724688771385, 0.0]",93.96330261230469,victim search,0,"[8.175087471792867, 16.139150677833943, 1.8916026883128145]",96.5197982788086,assessment,0,"[28.611927647674378, 2.732690961383134, 4.513861322123439]",93.08000183105469
142.1,on_vs,pioneer3at_2,4,4,0,approach,0,"[29.710837252000594, 5.55340872662115, 0.0]",94.72899627685547,None,1,"[16.10567384870912, 15.614745792629938, 0.0]",93.96330261230469,victim search,0,"[8.16272255205781, 16.112760966575916, 1.8866279451720722]",95.65380096435547,assessment,0,"[28.63990480412775, 2.7324470024549106, 4.512896734349497]",93.08000183105469
145.425,st_app,pioneer3at_2,4,4,0,approach,0,"[31.07367089724515, 5.724974490733763, 0.0]",94.72899627685547,approach,1,"[16.125671319718283, 15.596236924685954, 0.0]",93.96330261230469,victim search,0,"[8.09333330908122, 15.966250486857158, 2.5980627314205065]",95.65380096435547,assessment,0,"[29.690285768362095, 2.7232809883329048, 4.5148784235226405]",93.08000183105469
162.665,,,4,4,0,approach,0,"[37.31893189144473, 6.5734369561062955, 0.0]",93.14900207519531,approach,1,"[16.386079414957365, 15.677367879299172, 0.0]",92.5779037475586,victim search,0,"[9.50653157398678, 18.956444118000018, 2.911306010172386]",94.07379913330078,assessment,0,"[36.09380612901452, 2.6673995452985477, 4.51739836439211]",91.5199966430664
172.155,end_app,pioneer3at_1,4,4,0,None,0,"[39.631382752274206, 6.932353625924916, 0.0]",92.3915023803711,approach,1,"[19.965628233726527, 16.965073254210882, 0.0]",91.83789825439453,victim search,0,"[10.008678182076649, 19.941106485932178, 3.1382872338203813]",93.26380157470703,assessment,0,"[39.55415983870528, 2.637202864200634, 4.518738779990033]",90.73600006103516
173.505,off_gs,pioneer3at_1,4,4,0,None,0,"[39.631110724222765, 6.934534694170076, 0.0]",92.3915023803711,approach,1,"[20.541494345040906, 16.968951571201167, 0.0]",91.83789825439453,victim search,0,"[10.006539690942446, 19.94927623432759, 3.1369202598209553]",93.26380157470703,assessment,0,"[39.71238491628887, 2.635822561400464, 4.516374449783033]",90.73600006103516
174.85,,,4,4,0,None,0,"[39.63084188252755, 6.936494035196966, 0.0]",92.3915023803711,approach,1,"[21.087205376753293, 16.945206925730233, 0.0]",91.83789825439453,victim search,0,"[10.006089554334588, 19.95368298475639, 3.136980638938701]",93.26380157470703,assessment,0,"[40.5660552405603, 2.628372424105168, 4.519339763431859]",90.73600006103516
175.575,off_vs,pioneer3at_1,4,4,0,None,1,"[39.63053667660455, 6.937661890833443, 0.0]",92.3915023803711,approach,1,"[21.364116809358052, 16.93289962063184, 0.0]",91.83789825439453,victim search,0,"[10.004996567077322, 19.945448303112848, 3.136844114631452]",93.26380157470703,assessment,0,"[40.74963812420271, 2.6267709081579773, 4.518976022075178]",90.73600006103516
176.51,on_gs,pioneer3at_1,4,4,0,None,1,"[39.63027481430594, 6.93906070693039, 0.0]",92.3915023803711,approach,1,"[21.73296356691576, 16.91520246292328, 0.0]",91.83789825439453,victim search,0,"[9.993018397366724, 19.9205471376198, 3.136827663742568]",93.26380157470703,assessment,0,"[40.742123496671624, 2.6268367877948178, 4.519388126438967]",90.73600006103516
178.595,on_vs,pioneer3at_1,4,4,0,None,1,"[39.629835686497664, 6.942191016714811, 0.0]",92.3915023803711,approach,1,"[22.593643588206962, 16.879729729428803, 0.0]",91.83789825439453,victim search,0,"[10.46585458445483, 19.95563133063752, 3.646683510719807]",93.26380157470703,assessment,0,"[41.841038758795, 2.6172466274727886, 4.519395943903789]",90.73600006103516
183.755,st_app,pioneer3at_1,4,4,0,approach,1,"[41.05216010544086, 7.093699374129515, 0.0]",92.10330200195312,approach,1,"[22.98906995544945, 16.866296673472778, 0.0]",91.097900390625,victim search,0,"[11.421305776324072, 19.994802961245547, 4.6192951598175025]",92.58180236816406,assessment,0,"[43.591127889156844, 2.6019737152297475, 4.518970622466983]",89.96800231933594
196.78,gas_found,pioneer3at_1,4,4,0,approach,1,"[45.606459957653, 9.673327259183878, 0.0]",91.31330108642578,approach,1,"[23.023666034776546, 16.851326135248254, 0.0]",90.35790252685547,victim search,0,"[13.3147456473055, 19.99989272722786, 3.741571207332007]",91.82779693603516,assessment,0,"[48.46062324557291, 2.5594806526211964, 4.52219072065867]",89.19200134277344
197.665,rep_gas,pioneer3at_1,4,4,0,approach,1,"[45.90464820754335, 9.882600058167583, 0.0]",91.31330108642578,approach,1,"[23.025454915240303, 16.850134942515105, 0.0]",90.35790252685547,victim search,0,"[13.307151016650657, 19.999990100789383, 3.74126316949726]",91.82779693603516,assessment,0,"[48.48346923896856, 2.5592817279061726, 4.522333326770905]",89.19200134277344
198.695,er_app,pioneer3at_2,4,4,0,approach,1,"[46.23050851423556, 10.094818421548863, 0.0]",91.31330108642578,None,1,"[23.027514237149706, 16.848859663725932, 0.0]",90.35790252685547,victim search,0,"[13.319929341852152, 20.0001987424263, 3.741011488183071]",91.82779693603516,assessment,0,"[49.08534688491963, 2.5540284455116606, 4.521139324952999]",89.19200134277344
199.68,req_assist,pioneer3at_2,4,4,0,approach,1,"[46.575698943963175, 10.314122521512601, 0.0]",91.31330108642578,None,1,"[23.029515928000947, 16.84758304931691, 0.0]",90.35790252685547,victim search,0,"[13.32851601031774, 20.000375234576385, 3.7407913585735004]",91.82779693603516,assessment,0,"[49.55019660687225, 2.549972406417083, 4.52269588569738]",89.19200134277344
207.595,gas_found,pioneer3at_1,4,4,0,approach,1,"[49.29053609485285, 11.889287215545721, 0.0]",90.52330017089844,None,1,"[23.042372343484477, 16.837707497306887, 0.0]",89.9364013671875,victim search,0,"[14.153148221647973, 20.006595555785974, 4.217510256102201]",91.2177963256836,assessment,0,"[51.74346522892153, 2.528628247385564, 4.524381684399532]",88.42400360107422
207.96,rep_gas,pioneer3at_1,4,4,0,approach,1,"[49.34201691596223, 11.931739844322346, 0.0]",90.52330017089844,None,1,"[23.042590025658612, 16.837327963062595, 0.0]",89.9364013671875,victim search,0,"[14.228997325558955, 20.00865430961407, 4.398023568762775]",91.2177963256836,assessment,0,"[51.71459733679357, 2.522209254692148, 4.52431988996366]",88.42400360107422
214.02,call_tele,pioneer3at_2,4,4,0,approach,1,"[50.88961302226448, 13.226765820460875, 0.0]",89.7332992553711,None,1,"[23.045758018500333, 16.83303519159819, 0.0]",89.84639739990234,victim search,0,"[14.99223339254483, 19.999851685567364, 4.6936364654763745]",90.47979736328125,assessment,0,"[51.72930552220599, 2.533128625240448, 4.523116942496686]",87.80799865722656
216.615,st_tele,pioneer3at_2,4,4,1,approach,1,"[51.84659404898919, 13.624929147272983, 0.0]",89.7332992553711,teleoperation,1,"[23.047013871881948, 16.831420031591655, 0.0]",89.84639739990234,victim search,0,"[14.944568339940652, 20.024213815768658, 4.693453571402653]",90.47979736328125,assessment,0,"[51.735975480042804, 2.532050509224825, 4.522911346783118]",87.80799865722656
232.2,,,4,4,1,approach,1,"[57.54619736128642, 16.380629396511964, 0.0]",88.94329833984375,teleoperation,1,"[22.99342714659712, 16.51358656368634, 0.0]",89.75640106201172,victim search,0,"[15.002745838066328, 21.995138431165444, 4.681193345682092]",89.72579956054688,assessment,0,"[51.764490437793945, 5.000902161445018, 4.496315544607728]",87.46399688720703
235.835,gas_found,pioneer3at_1,4,4,1,approach,1,"[58.83977848691871, 17.115096356142594, 0.0]",88.1532974243164,teleoperation,1,"[23.173937458100568, 15.980699169733935, 0.0]",89.3739013671875,victim search,0,"[14.430811942338496, 21.984780961969488, 5.1118163517823]",89.2437973022461,assessment,0,"[51.78817515341062, 4.965749393004434, 4.496517192360747]",87.00800323486328
236.11,rep_gas,pioneer3at_1,4,4,1,approach,1,"[58.928849862900826, 17.164065091631656, 0.0]",88.1532974243164,teleoperation,1,"[23.17932782196543, 15.969926801807354, 0.0]",89.3739013671875,victim search,0,"[14.296987047990706, 21.993598942754282, 5.125127863828491]",89.2437973022461,assessment,0,"[51.78685809280629, 4.956892820052003, 4.496502685426246]",87.00800323486328
243.305,end_tele,pioneer3at_2,4,4,1,approach,1,"[61.46376391776263, 18.556176814925465, 0.0]",87.36329650878906,None,1,"[24.089407870175208, 15.614397244273134, 0.0]",88.77690124511719,victim search,0,"[13.348251857460845, 22.001671470100945, 5.555040449929986]",89.2437973022461,assessment,0,"[50.04905619913301, 5.339013913833281, 4.478067273499976]",86.31199645996094
244.29,,,4,4,1,approach,1,"[61.58568545824242, 18.644595240918544, 0.0]",87.36329650878906,None,1,"[24.094893742998988, 15.612332517987966, 0.0]",88.77690124511719,victim search,0,"[13.320595520197248, 22.003283715688102, 5.366456681274959]",88.51380157470703,assessment,0,"[50.021501444930955, 5.343624437308928, 4.4760755817326405]",86.31199645996094
244.395,rst_app,pioneer3at_2,4,4,1,approach,1,"[61.59519235770734, 18.652761285359098, 0.0]",87.36329650878906,None,1,"[24.095445276281996, 15.612137010584357, 0.0]",88.77690124511719,victim search,0,"[13.29497185635258, 22.003369999818627, 5.267384870232874]",88.51380157470703,assessment,0,"[50.00290700066529, 5.347232485145919, 4.474365895519115]",86.31199645996094
249.97,st_app,pioneer3at_2,4,4,1,approach,1,"[62.810334279124206, 19.747219841815433, 0.0]",87.36329650878906,approach,1,"[25.837164181778114, 15.88826164240173, 0.0]",88.77690124511719,victim search,0,"[12.19357120537071, 22.00116858843271, 4.2209912427417615]",88.51380157470703,assessment,0,"[49.31147468365668, 5.466704279781704, 4.469413487163841]",86.31199645996094
250.27,gas_found,pioneer3at_1,4,4,1,approach,1,"[62.9291144937111, 19.812491574888426, 0.0]",87.36329650878906,approach,1,"[26.01425423845385, 15.875966154535817, 0.0]",88.77690124511719,victim search,0,"[12.129920327792737, 22.001119564037403, 3.8815118489535227]",88.51380157470703,assessment,0,"[49.30869947394882, 5.479929800773073, 4.469367115113064]",86.31199645996094
251.445,rep_gas,pioneer3at_1,4,4,1,approach,1,"[63.22568018633935, 19.945777636455585, 0.0]",87.36329650878906,approach,1,"[26.495507311033247, 15.808119349074955, 0.0]",88.77690124511719,victim search,0,"[11.72323712668531, 22.000759598159625, 3.5886078432382598]",88.51380157470703,assessment,0,"[49.28295636711985, 5.50338247730572, 4.469236226665096]",86.31199645996094
258.495,end_app,pioneer3at_1,4,4,1,None,1,"[63.63279099926232, 19.962356188934955, 0.0]",86.57330322265625,approach,1,"[29.311516778663083, 15.407825275932321, 0.0]",88.16690063476562,victim search,0,"[10.869086398459597, 22.00061354528083, 3.7202194037463268]",87.63179779052734,assessment,0,"[49.24581182110873, 5.494740695387648, 4.468850374392836]",85.72000122070312
259.11,off_gs,pioneer3at_1,4,4,1,None,1,"[63.633311390138296, 19.96091549935485, 0.0]",86.57330322265625,approach,1,"[29.5365764743797, 15.421614149050127, 0.0]",88.16690063476562,victim search,0,"[10.781756445947156, 22.000666781839925, 3.7184756693945253]",87.63179779052734,assessment,0,"[49.24544722601504, 5.494693057921371, 4.4688358311912495]",85.72000122070312
259.49,off_vs,pioneer3at_1,4,4,1,None,1,"[63.63368599299649, 19.95993582527664, 0.0]",86.57330322265625,approach,1,"[29.695366490346295, 15.43517488505603, 0.0]",88.16690063476562,victim search,0,"[10.771280742523153, 22.000685187651577, 3.730932015600988]",87.63179779052734,assessment,0,"[49.24526340749865, 5.494675798175494, 4.468827630088871]",85.72000122070312
260.045,,,3,4,1,None,2,"[63.634151092436795, 19.958616873174233, 0.0]",86.57330322265625,approach,1,"[29.91717289916979, 15.453055157315246, 0.0]",88.16690063476562,victim search,0,"[10.555689890765375, 22.000651349794737, 3.8083269159265583]",87.63179779052734,assessment,0,"[49.24503905826112, 5.494658986862684, 4.46881661654581]",85.72000122070312
261.075,on_gs,pioneer3at_1,4,4,1,None,2,"[63.635038972926736, 19.95611165775836, 0.0]",86.57330322265625,approach,1,"[30.340134622373117, 15.518841959851361, 0.0]",88.16690063476562,victim search,0,"[10.079396809131588, 22.000545030822664, 3.8378246909422935]",87.63179779052734,assessment,0,"[49.24473798131238, 5.494635884173694, 4.468799297791681]",85.72000122070312
261.975,on_vs,pioneer3at_1,4,4,1,None,2,"[63.63578867958409, 19.9539707732838, 0.0]",86.57330322265625,approach,1,"[30.6858529864667, 15.58662966780641, 0.0]",88.16690063476562,victim search,0,"[9.96220803764771, 22.000506727738212, 3.835575969918454]",87.63179779052734,assessment,0,"[49.24456452778655, 5.494618042275203, 4.468786936186464]",85.72000122070312
265.21,st_app,pioneer3at_1,4,4,1,approach,2,"[63.641028492455284, 20.058598792392363, 0.0]",86.08740234375,approach,1,"[31.42639480571909, 15.73571521813359, 0.0]",87.4269027709961,victim search,0,"[10.021449088666511, 22.00051156043754, 3.836201034297277]",86.93379974365234,assessment,0,"[49.23316022818273, 5.548971050768412, 4.467565553185045]",85.72000122070312
277.49,,,4,4,1,approach,2,"[62.406805799950156, 23.02901709531459, 0.0]",85.29740142822266,approach,1,"[31.49120270663139, 15.703005828244141, 0.0]",86.68689727783203,victim search,0,"[10.00211801469151, 23.990669526582572, 4.065080574592376]",86.13179779052734,assessment,0,"[48.45462008773357, 9.163155349841988, 4.479062613352472]",85.04000091552734
292.675,,,4,4,1,approach,2,"[62.35287568162525, 22.328895294167353, 0.0]",83.71739959716797,approach,1,"[31.497656199051775, 15.875024175971278, 0.0]",85.20690155029297,victim search,0,"[11.597703090273557, 24.013112285692237, 4.958477564733845]",85.51380157470703,assessment,0,"[48.2650514259337, 10.04289919357603, 4.481055267315899]",84.27999877929688
