,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.005,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.12,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.575,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
7.73,,0,4,0,None,0,"[3.0045573423092264, 1.016613508213081, 0.0]",100,None,0,"[2.998889727409715, 2.984403627337226, 0.0]",100,None,0,"[0.9955312442998571, 0.9975879277333238, 0.6572464394086569]",100,None,0,"[0.9754592886586931, 2.979111870622891, 0.6821531864753695]",100
21.13,,0,4,0,None,0,"[3.013808038884106, 1.0358115738568696, 0.0]",100.0,None,0,"[2.995182994815558, 2.9687938431895544, 0.0]",100.0,None,0,"[0.9946783742339932, 0.9974709305297179, 0.6570454684791012]",100.0,None,0,"[0.976459691540551, 2.979032798158331, 0.6821293058478329]",100.0
33.47,,0,4,0,None,0,"[3.0198835748399397, 1.0479371147303358, 0.0]",100.0,None,0,"[2.992123746891338, 2.9544469169422567, 0.0]",100.0,None,0,"[0.9929400776660264, 0.9970842774834016, 0.6571719852651939]",100.0,None,0,"[0.977214635731455, 2.9789726349953236, 0.6821460407503335]",100.0
45.81,,0,4,0,None,0,"[3.0264298177934466, 1.0594253478920976, 0.0]",100.0,None,0,"[2.9900951100910587, 2.939472173764575, 0.0]",100.0,None,0,"[0.9931108793162102, 0.9964529868630081, 0.6571779298977782]",100.0,None,0,"[0.9781827818062241, 2.9791400996599626, 0.6821744989151846]",100.0
58.205,,0,4,0,None,0,"[3.0335766680148915, 1.0705816507810808, 0.0]",100.0,None,0,"[2.987736697687197, 2.922919428937598, 0.0]",100.0,None,0,"[0.9932941298967282, 0.9958427258703229, 0.6571817626633529]",100.0,None,0,"[0.9790867478319825, 2.9790606525156473, 0.6821875114332153]",100.0
70.34,,0,4,0,None,0,"[3.0411163796740834, 1.0812150070139703, 0.0]",100.0,None,0,"[2.9815651558066327, 2.910364227983524, 0.0]",100.0,None,0,"[0.993485579497921, 0.9952574051496562, 0.6571824841671452]",100.0,None,0,"[0.9801186474020223, 2.9793958725245187, 0.6822283705059725]",100.0
82.915,,0,4,0,None,0,"[3.0495984613961133, 1.0920608328806105, 0.0]",100.0,None,0,"[2.972461826694926, 2.8990123606745697, 0.0]",100.0,None,0,"[0.9936828040342816, 0.994688230879261, 0.6571862961964835]",100.0,None,0,"[0.9808709328443199, 2.979401485640716, 0.6822398318069277]",100.0
95.07,,0,4,0,None,0,"[3.0584510658602198, 1.1024207746304604, 0.0]",100.0,None,0,"[2.93833580610807, 2.8485124741025802, 0.0]",100.0,None,0,"[0.9938780277154827, 0.9941550677120381, 0.6571895890038983]",100.0,None,0,"[0.9814557238598163, 2.980071517092909, 0.6822715165635568]",100.0
107.055,,0,4,0,None,0,"[3.0681700729622765, 1.1134262660571086, 0.0]",100.0,None,0,"[2.9065257655145, 2.7953630757950094, 0.0]",100.0,None,0,"[0.9938644413389196, 0.9936208271896113, 0.6570606315954165]",100.0,None,0,"[0.9826645773324203, 2.9801981819255072, 0.6823107033985937]",100.0
118.44,,0,4,0,None,0,"[3.0829571669208486, 1.1300353906052558, 0.0]",100.0,None,0,"[2.9099932171722185, 2.779906414529132, 0.0]",100.0,None,0,"[0.9913730223647084, 0.9935139043537414, 0.6572254750853097]",100.0,None,0,"[0.9831804065827694, 2.9803481841228963, 0.6823206372017596]",100.0
