,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_2_cur_maneuver,UAV_2_tasks_counter
2,0,4,0,None,0,None,0,None,0,None,0
12,0,4,0,None,0,None,0,None,0,None,0
26,0,4,0,None,0,None,0,None,0,None,0
38,0,4,0,None,0,None,0,None,0,None,0
51,0,4,0,None,0,None,0,None,0,None,0
62,0,4,0,None,0,None,0,None,0,None,0
74,0,4,0,None,0,None,0,None,0,None,0
85,0,4,0,None,0,None,0,None,0,None,0
96,0,4,0,None,0,None,0,None,0,None,0
109,0,4,0,None,0,None,0,None,0,None,0
114,0,4,0,None,0,None,0,None,0,None,0
117,1,4,0,None,0,None,0,None,0,assessment,0
120,2,4,0,None,0,None,0,None,0,assessment,0
122,2,4,0,None,0,None,0,assessment,0,assessment,0
139,2,4,0,None,0,None,0,assessment,0,assessment,0
156,2,4,0,None,0,None,0,assessment,0,assessment,0
172,2,4,0,None,0,None,0,assessment,0,assessment,0
188,2,4,0,None,0,None,0,assessment,0,assessment,0
204,2,4,0,None,0,None,0,assessment,0,assessment,0
220,2,4,0,None,0,None,0,assessment,0,assessment,0
234,2,4,0,None,0,None,0,assessment,0,assessment,0
250,2,4,0,None,0,None,0,assessment,0,assessment,0
260,2,4,0,None,0,None,0,assessment,0,assessment,0
266,2,4,0,None,0,None,0,assessment,0,assessment,0
275,2,4,0,None,0,None,0,assessment,0,assessment,0
283,2,4,0,None,0,None,0,assessment,0,assessment,0
288,2,4,0,None,0,None,0,None,0,assessment,0
289,2,4,1,None,0,None,0,teleoperation,0,assessment,0
296,2,4,1,None,0,None,0,teleoperation,0,assessment,0
303,2,4,1,None,0,None,0,teleoperation,0,assessment,0
311,2,4,1,None,0,None,0,teleoperation,0,assessment,0
318,2,4,1,None,0,None,0,teleoperation,0,assessment,0
326,2,4,1,None,0,None,0,teleoperation,0,assessment,0
332,2,4,1,None,0,None,0,teleoperation,0,assessment,0
340,2,4,1,None,0,None,0,teleoperation,0,assessment,0
348,2,4,1,None,0,None,0,teleoperation,0,assessment,0
356,2,4,1,None,0,None,0,teleoperation,0,assessment,0
364,2,4,1,None,0,None,0,teleoperation,0,assessment,0
365,3,4,1,None,0,None,0,teleoperation,0,assessment,0
369,3,4,1,None,0,approach,0,teleoperation,0,assessment,0
378,4,4,1,None,0,approach,0,teleoperation,0,assessment,0
380,4,4,1,approach,0,approach,0,teleoperation,0,assessment,0
389,4,4,1,approach,0,approach,0,teleoperation,0,assessment,0
397,4,4,1,approach,0,approach,0,teleoperation,0,assessment,0
405,4,4,1,approach,0,approach,0,teleoperation,0,assessment,0
406,4,4,1,approach,0,None,0,teleoperation,0,assessment,0
407,4,4,1,approach,0,None,1,teleoperation,0,assessment,0
410,4,4,1,approach,0,approach,1,teleoperation,0,assessment,0
417,4,4,1,approach,0,approach,1,teleoperation,0,assessment,0
425,4,4,1,approach,0,approach,1,teleoperation,0,assessment,0
431,4,4,1,approach,0,approach,1,teleoperation,0,assessment,0
438,4,4,1,approach,0,approach,1,teleoperation,0,assessment,0
444,4,4,1,approach,0,approach,1,teleoperation,0,assessment,0
451,4,4,1,approach,0,None,1,teleoperation,0,assessment,0
452,3,4,1,approach,0,None,2,teleoperation,0,assessment,0
453,3,4,1,None,0,None,2,teleoperation,0,None,0
454,3,4,1,None,1,None,2,teleoperation,0,None,0
455,3,4,1,None,1,approach,2,teleoperation,0,assessment,0
456,3,4,1,approach,1,approach,2,teleoperation,0,assessment,0
463,3,4,1,approach,1,approach,2,teleoperation,0,assessment,0
470,3,4,1,approach,1,approach,2,teleoperation,0,assessment,0
478,3,4,1,approach,1,approach,2,teleoperation,0,assessment,0
485,4,4,1,approach,1,approach,2,None,0,assessment,0
487,4,4,1,approach,1,approach,2,assessment,0,assessment,0
493,4,4,1,approach,1,approach,2,assessment,0,assessment,0
