,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.105,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
6.5,,0,4,0,None,0,"[3.001839105052422, 1.0101424972736153, 0.0]",100,None,0,"[2.998900313875581, 2.984719328787522, 0.0]",100,None,0,"[0.9960928787282725, 0.9995611266403196, 0.6572252097730988]",100,None,0,"[0.9756103751690551, 2.980206941178483, 0.6822007392360734]",100
18.86,,0,4,0,None,0,"[3.011860895231458, 1.0314323471514497, 0.0]",100.0,None,0,"[2.9954262949391524, 2.9703657549593308, 0.0]",100.0,None,0,"[0.9956587927823171, 0.9988480820780004, 0.6572060615682984]",100.0,None,0,"[0.9755522690336464, 2.979538858113622, 0.682120636865687]",100.0
29.915,,0,4,0,None,0,"[3.0170839664746185, 1.0425295480102594, 0.0]",100.0,None,0,"[2.9926907791754567, 2.9575355202853846, 0.0]",100.0,None,0,"[0.9958714820111946, 0.9986816843576378, 0.6572516199623388]",100.0,None,0,"[0.9761871341619033, 2.9793486092051586, 0.6821245221651614]",100.0
36.075,,0,4,0,None,0,"[3.0201898468003443, 1.0485095349918996, 0.0]",100.0,None,0,"[2.9914549289794072, 2.950284907381099, 0.0]",100.0,None,0,"[0.9957994969392553, 0.9982694263047851, 0.6572085875421422]",100.0,None,0,"[0.9768749930387287, 2.979550953776005, 0.6821530033238266]",100.0
36.575,uav_on_vs,1,4,0,None,0,"[3.0204460566626916, 1.0489855703956814, 0.0]",100.0,None,0,"[2.991324193896382, 2.9496629219330552, 0.0]",100.0,None,0,"[0.9958826566338652, 0.9983158523399724, 0.6572131876009364]",100.0,None,0,"[0.9767741788370234, 2.979395533662688, 0.6821400784870795]",100.0
38.615,uav_st_app,1,4,0,None,0,"[3.021479853522267, 1.0508807419027688, 0.0]",100.0,None,0,"[2.991142568303988, 2.947195335601747, 0.0]",100.0,approach,0,"[1.0251610288288928, 1.0018504992118002, 1.5081740335372948]",100.0,None,0,"[0.9770395247194373, 2.979626617029007, 0.6821595860713957]",100.0
51.305,,1,4,0,None,0,"[3.0283337405679314, 1.062549026758146, 0.0]",100.0,None,0,"[2.98953017550765, 2.9306847602719412, 0.0]",100.0,approach,0,"[3.4216549481507696, 2.0688139114281805, 1.6859306140062227]",98.92489624023438,None,0,"[0.9781475760441225, 2.979656063928001, 0.682187170492352]",100.0
64.815,,1,4,0,None,0,"[3.0363743655937636, 1.0746402676050817, 0.0]",100.0,None,0,"[2.983703302862576, 2.9149318917213902, 0.0]",100.0,approach,0,"[6.793021277986227, 3.5577267460017246, 1.943749963454242]",97.84490203857422,None,0,"[0.978994992857381, 2.979678076526218, 0.682202386698459]",100.0
76.63,,1,4,0,None,0,"[3.0439368833745206, 1.08493495568195, 0.0]",100.0,None,0,"[2.978157690067913, 2.902676014908978, 0.0]",100.0,approach,0,"[10.723345245654022, 5.294519178800827, 2.2260771893177242]",96.76490020751953,None,0,"[0.9797126946637258, 2.9799551923055243, 0.6822263745445217]",100.0
88.325,,1,4,0,None,0,"[3.051930158425622, 1.094878775342052, 0.0]",100.0,None,0,"[2.9564695647065156, 2.874683119247102, 0.0]",100.0,approach,0,"[13.92000720450525, 6.707135116210947, 2.451441382913342]",95.69490051269531,None,0,"[0.9804568796538157, 2.9801686176918203, 0.6822500548350532]",100.0
100.515,,1,4,0,None,0,"[3.061035589134585, 1.1053047291920046, 0.0]",100.0,None,0,"[2.9174260357125283, 2.815833811904533, 0.0]",100.0,approach,0,"[16.567423523498633, 7.876903442806436, 2.67968892129647]",93.5448989868164,None,0,"[0.98148446543223, 2.9804768346035426, 0.6822894513025104]",100.0
113.14,,1,4,0,None,0,"[3.073507489561371, 1.1195258551990548, 0.0]",100.0,None,0,"[2.9081786715403886, 2.784229269856629, 0.0]",100.0,approach,0,"[20.51697706060893, 9.622185066462484, 2.9625775745286873]",92.48490142822266,None,0,"[0.9823742431639835, 2.9805785751997864, 0.6823940608800868]",100.0
126.03,,1,4,0,None,0,"[3.090701845329771, 1.1384449779953614, 0.0]",100.0,None,0,"[2.9150415764014594, 2.7704237969423025, 0.0]",100.0,approach,0,"[23.4094507347177, 10.9002890386564, 3.1953528896133405]",91.42489624023438,None,0,"[0.9833067687084509, 2.980742682734695, 0.6824212407515808]",100.0
137.52,,1,4,0,None,0,"[3.1075414725897272, 1.1570447157858816, 0.0]",100.0,None,0,"[2.9225402374109652, 2.7548695076408825, 0.0]",100.0,approach,0,"[26.35426232344831, 12.201574002404284, 3.415708149139556]",90.34490203857422,None,0,"[0.9840395014576654, 2.9809222360874634, 0.6824437682291864]",100.0
149.485,,1,4,0,None,0,"[3.1212566801816792, 1.1723260979771593, 0.0]",100.0,None,0,"[2.9293476506406297, 2.732333092986932, 0.0]",100.0,approach,0,"[30.445688098896973, 14.009576806923901, 3.702632467236507]",89.27490234375,None,0,"[0.9849176577963381, 2.9810264280384042, 0.68246773099977]",100.0
161.32,,1,4,0,None,0,"[3.1271962944514438, 1.1797720440249584, 0.0]",100.0,None,0,"[2.938610068249132, 2.708968829383496, 0.0]",100.0,approach,0,"[33.47332245214561, 15.347474575209489, 3.9228408586925925]",87.18489837646484,None,0,"[0.9857199012169934, 2.981209107553079, 0.6824919741248532]",100.0
172.315,,1,4,0,None,0,"[3.130818319212686, 1.1846492545490774, 0.0]",100.0,None,0,"[2.96082401434147, 2.690503230755265, 0.0]",100.0,approach,0,"[35.31777353475098, 16.144208426978288, 4.124778692370114]",86.19490051269531,None,0,"[0.9863839392177839, 2.9814108263653436, 0.6825133109327849]",100.0
175.785,uav_er_app,1,4,0,None,0,"[3.132189155332995, 1.184670234300955, 0.0]",100.0,None,0,"[2.9657657513081963, 2.686112868028817, 0.0]",100.0,None,0,"[34.25533193002581, 15.720190513125901, 3.7650000857066166]",86.19490051269531,None,0,"[0.9866170105330633, 2.9814590414641278, 0.6825202695560498]",100.0
176.615,uav_req_assist,1,4,0,None,0,"[3.132199390980164, 1.1849052283271455, 0.0]",100.0,None,0,"[2.9668570681560835, 2.685012897085047, 0.0]",100.0,None,0,"[35.049011793955216, 15.96036190110271, 3.8045915064258247]",86.19490051269531,None,0,"[0.9866978502760642, 2.9814721774996595, 0.6825225668983208]",100.0
178.385,uav_st_tele,1,4,1,None,0,"[3.132984985847637, 1.1856392054670768, 0.0]",100.0,None,0,"[2.969017259699807, 2.6830986731486828, 0.0]",100.0,teleoperation,0,"[34.92548928124738, 16.057160988421018, 3.806545500419504]",86.19490051269531,None,0,"[0.9867734021028978, 2.981515571493775, 0.6825255506474004]",100.0
190.575,,1,4,1,None,0,"[3.1360645153832714, 1.1900075722598016, 0.0]",100.0,None,0,"[2.984420602962242, 2.668493989966491, 0.0]",100.0,teleoperation,0,"[0.9857053391737828, -1.3005781567189758, 0.2015293889947689]",84.78489685058594,None,0,"[0.9877094678078423, 2.981573468289836, 0.6825493361629666]",100.0
202.215,,1,4,1,None,0,"[3.133542073288795, 1.1861016634095902, 0.0]",100.0,None,0,"[2.9988987057595407, 2.655000850197609, 0.0]",100.0,teleoperation,0,"[0.944499468799533, -1.1981611761646374, 0.8939564592843542]",84.06490325927734,None,0,"[0.9883546855526489, 2.981926718232615, 0.6825746085064175]",100.0
215.42,,1,4,1,None,0,"[3.127499551833792, 1.180187743363346, 0.0]",100.0,None,0,"[3.008471348571099, 2.648134971432258, 0.0]",100.0,teleoperation,0,"[0.9884150297285064, -1.2462916669175128, 1.003247860983299]",83.5448989868164,None,0,"[0.989336418142409, 2.982009076086102, 0.6826003163088575]",100.0
228.115,,1,4,1,None,0,"[3.1223748781226743, 1.176460563008814, 0.0]",100.0,None,0,"[3.0183885348293846, 2.64054430838572, 0.0]",100.0,teleoperation,0,"[0.9884663784330249, -1.2463562588371262, 1.0159497527635193]",83.33489990234375,None,0,"[0.9901536249548436, 2.982259196459211, 0.6826268349151947]",100.0
228.735,uav_er_tele,1,4,1,None,0,"[3.122561585889602, 1.1765256164261393, 0.0]",100.0,None,0,"[3.018934833960222, 2.6401813719885423, 0.0]",100.0,None,0,"[0.988466368559022, -1.2463563702535698, 1.0160215645822637]",83.33489990234375,None,0,"[0.9902260165055433, 2.9822340928280067, 0.6826277886442033]",100.0
244.255,,0,3,1,None,0,"[3.123672227603958, 1.1640921690685813, 0.0]",100.0,None,0,"[3.034486493716666, 2.626004564922979, 0.0]",100.0,None,0,"[0.988466507123824, -1.246356607821967, 1.016581973207308]",83.05490112304688,None,0,"[0.9911750737662006, 2.9826025452952427, 0.6826605699586656]",100.0
259.9,,0,3,1,None,0,"[3.1178927260967018, 1.1398892289570972, 0.0]",100.0,None,0,"[3.05074882385407, 2.607522949703271, 0.0]",100.0,None,0,"[0.988466505156797, -1.246356609336902, 1.0166075622827395]",82.96489715576172,None,0,"[0.9921936457430227, 2.9829454865334846, 0.6826942658168546]",100.0
275.63,,0,3,1,None,0,"[3.1151332864500128, 1.1184448081514629, 0.0]",100.0,None,0,"[3.0622985501368247, 2.5887995349981687, 0.0]",100.0,None,0,"[0.9884665047683557, -1.246356609591261, 1.0166087061444895]",82.78489685058594,None,0,"[0.9931346344722286, 2.9833283107888886, 0.6827270855613948]",100.0
291.045,,0,3,1,None,0,"[3.110846261696766, 1.1061760743216837, 0.0]",100.0,None,0,"[3.066252463556508, 2.570443565767567, 0.0]",100.0,None,0,"[0.9884665047634041, -1.2463566095945031, 1.0166087549348541]",82.60489654541016,None,0,"[0.9941047627359053, 2.9837157677026767, 0.6827607344656403]",100.0
306.025,,0,3,1,None,0,"[3.103025386214792, 1.1085402700235998, 0.0]",100.0,None,0,"[3.075457551037369, 2.545180806005446, 0.0]",100.0,None,0,"[0.9884665047624221, -1.2463566095951442, 1.0166087570727156]",82.51490020751953,None,0,"[0.994440415507312, 2.9843782585654046, 0.6827843634634913]",100.0
321.185,,0,3,1,None,0,"[3.0974337704558663, 1.1096519292782419, 0.0]",100.0,None,0,"[3.0886159114473064, 2.5326685219252263, 0.0]",100.0,None,0,"[0.9884665047710678, -1.2463566095894865, 1.0166087572821403]",82.33489990234375,None,0,"[0.9945745912843704, 2.985241252800347, 0.6828124540340307]",100.0
337.445,,0,3,1,None,0,"[3.084812479342646, 1.107760964366558, 0.0]",100.0,None,0,"[3.100092585152092, 2.523616799112924, 0.0]",100.0,None,0,"[0.9884665047668107, -1.2463566095922718, 1.0166087572041638]",82.24490356445312,None,0,"[0.9949794346078156, 2.9859234241463684, 0.6828379132954875]",100.0
353.37,,0,3,1,None,0,"[3.0784631509097724, 1.0960961170912646, 0.0]",100.0,None,0,"[3.114602714071065, 2.509611650869585, 0.0]",100.0,None,0,"[0.9884665047641107, -1.24635660959404, 1.016608757301649]",82.06490325927734,None,0,"[0.9949976138843863, 2.9869904667653935, 0.6828685172932532]",100.0
355.365,,0,3,1,None,0,"[3.077948629556171, 1.0947367314753744, 0.0]",100.0,None,0,"[3.116321845934174, 2.5077845741257603, 0.0]",100.0,None,0,"[0.98846650477119, -1.2463566095894067, 1.0166087571916413]",82.06490325927734,None,0,"[0.995037053891534, 2.9870713165875014, 0.682871340491592]",100.0
