,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.22,,pioneer3at_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
6.64,,UAV_1,0,4,0,None,0,"[3.00366635046289, 1.9908278842510452, 0.0]",100,None,0,"[2.998772879911701, 3.979800516056185, 0.0]",100,None,0,"[0.9959993636193509, 1.9919065617241734, 0.6610753766741435]",100,None,0,"[0.9211569420389756, 3.8069690271897683, 0.7073635046170106]",100
17.04,,,0,4,0,None,0,"[3.0096622501142267, 1.9791064874865294, 0.0]",100.0,None,0,"[2.9960496438334934, 3.965136425117364, 0.0]",100.0,None,0,"[0.9946866901118107, 1.9889619704646155, 0.6610738975892401]",100.0,None,0,"[0.9225900484281052, 3.8022306578849876, 0.7067682012584692]",100.0
27.635,,,0,4,0,None,0,"[3.015030729383834, 1.9675869667073624, 0.0]",100.0,None,0,"[2.9933449093490916, 3.9498443873266447, 0.0]",100.0,None,0,"[0.9943633497532935, 1.9864748019394445, 0.6609073676288915]",100.0,None,0,"[0.9249219515060352, 3.7992268412106296, 0.7066553703554611]",100.0
29.425,,,1,4,0,None,0,"[3.016155739635443, 1.9660934627134716, 0.0]",100.0,None,0,"[2.992790262943283, 3.9470753610247473, 0.0]",100.0,None,0,"[0.994457321407222, 1.9863349847151512, 0.660951444123397]",100.0,None,0,"[0.9253243607155475, 3.798710448736166, 0.7066366411638437]",100.0
32.795,uav_st_assess,UAV_2,1,4,0,None,0,"[3.018090467175502, 1.9631435463248113, 0.0]",100.0,None,0,"[2.991796922070616, 3.9443591742732855, 0.0]",100.0,None,0,"[0.9944817329687283, 1.986051691378067, 0.6610128869645526]",100.0,assessment,0,"[0.9627983729032995, 3.8457354809569666, 1.5346863918033378]",99.95999908447266
45.195,,,1,4,0,None,0,"[3.025094416576915, 1.9528475803304362, 0.0]",100.0,None,0,"[2.988756280827081, 3.9429072590709757, 0.0]",100.0,None,0,"[0.994446286346078, 1.9841659614129266, 0.6609088212935132]",100.0,assessment,0,"[0.9234780981204429, 3.7993799610338415, 4.524761332871356]",99.2959976196289
58.92,,,1,4,0,None,0,"[3.0354652247635014, 1.9445374032166018, 0.0]",100.0,None,0,"[2.9856886403162135, 3.9415979199890683, 0.0]",100.0,None,0,"[0.9925950285249465, 1.9787925963796138, 0.6607990536488885]",100.0,assessment,0,"[4.718154034696239, 6.193006493811752, 4.5288116893305235]",98.6240005493164
70.805,,,1,4,0,None,0,"[3.0386581492453892, 1.9394150704504998, 0.0]",100.0,None,0,"[2.982616236326726, 3.940127362193723, 0.0]",100.0,None,0,"[0.9913159407713908, 1.9755655108192052, 0.6605305679320475]",100.0,assessment,0,"[8.48748287862071, 8.570434844693791, 4.5336629393250405]",97.05599975585938
80.85,,,2,4,0,None,0,"[3.0417119029044972, 1.935534935540172, 0.0]",100.0,None,0,"[2.9788811096461676, 3.9369978418974165, 0.0]",100.0,None,0,"[0.9904839372184832, 1.9731806777381882, 0.660726926599173]",100.0,assessment,0,"[11.244727244612582, 10.30942588573421, 4.537493087305661]",96.27200317382812
85.055,uav_st_assess,UAV_1,2,4,0,None,0,"[3.042849979604932, 1.9338679810695278, 0.0]",100.0,None,0,"[2.977352837831625, 3.9355911341878467, 0.0]",100.0,assessment,0,"[1.0015604356424759, 1.9791086573617314, 1.4995303983841801]",100.0,assessment,0,"[11.251967325837894, 10.314024196346592, 4.536492322830614]",96.27200317382812
99.785,,,2,4,0,None,0,"[3.047092994536734, 1.927945352683568, 0.0]",100.0,None,0,"[2.9729799548954876, 3.931677404296371, 0.0]",100.0,assessment,0,"[4.674338310640934, 2.4498639458949465, 1.6981299396577472]",99.75199890136719,assessment,0,"[8.664060674296064, 11.325860949847634, 4.8593681294563]",96.00800323486328
113.335,,,2,4,0,None,0,"[3.051735578749527, 1.922615578198259, 0.0]",100.0,None,0,"[2.96738862552587, 3.9282871543172004, 0.0]",100.0,assessment,0,"[9.779268895169686, 3.109518250367058, 1.9225951581763305]",98.1760025024414,assessment,0,"[7.1108636042803655, 11.933679719565989, 5.012598414286697]",94.56800079345703
126.19,,,2,4,0,None,0,"[3.0575369649731963, 1.9177170383598214, 0.0]",100.0,None,0,"[2.9639118714522272, 3.9298959349348235, 0.0]",100.0,assessment,0,"[14.309900944100454, 3.6950076955635045, 2.165982499155882]",97.38400268554688,assessment,0,"[4.958312910390381, 10.551551108963668, 5.232509963354537]",94.02400207519531
140.5,,,2,4,0,None,0,"[3.0617638805490355, 1.9162941768296518, 0.0]",100.0,None,0,"[2.962481321552103, 3.9314658382870795, 0.0]",100.0,assessment,0,"[19.594444412449064, 4.377913311223137, 2.4034864082164074]",95.80799865722656,assessment,0,"[5.310053312954286, 9.565870221823316, 5.197664647152079]",93.19200134277344
154.345,,,2,4,0,None,0,"[3.063952714374174, 1.9162553669041493, 0.0]",100.0,None,0,"[2.960865057567751, 3.9331393087352096, 0.0]",100.0,assessment,0,"[24.83338214424469, 5.054939368611654, 2.671833247660133]",95.03199768066406,assessment,0,"[6.820979541248688, 5.820366330721445, 5.066183985541281]",92.41600036621094
168.165,,,2,4,0,None,0,"[3.0660290257990517, 1.9164417238790628, 0.0]",100.0,None,0,"[2.9594763881897372, 3.9347232780447277, 0.0]",100.0,assessment,0,"[29.663086140076963, 5.679067456115069, 2.9200822919829466]",94.23999786376953,assessment,0,"[7.350912315076162, 4.927225964125848, 4.931636766715399]",91.63200378417969
179.79,,,2,4,0,None,0,"[3.067015689491476, 1.9168567854071192, 0.0]",100.0,None,0,"[2.958202168429003, 3.936083862518423, 0.0]",100.0,assessment,0,"[33.826872479976224, 6.217144136187918, 3.1146999013967362]",93.447998046875,assessment,0,"[9.972247330395732, 4.823684737136681, 4.588609535126875]",91.2959976196289
194.395,,,2,4,0,None,0,"[3.0694799017677608, 1.9175683818753608, 0.0]",100.0,None,0,"[2.9565583913664755, 3.937803572249251, 0.0]",100.0,assessment,0,"[39.22151958033097, 6.91428032421738, 3.3672035028616536]",91.88800048828125,assessment,0,"[10.044810710223516, 4.79564465586596, 4.5873905993416795]",90.48799896240234
207.605,,,2,4,0,None,0,"[3.071116927282882, 1.9184826390279313, 0.0]",100.0,None,0,"[2.955329407308255, 3.939204176191636, 0.0]",100.0,assessment,0,"[43.99582643682752, 7.5312639424746965, 3.623947529560098]",91.08799743652344,assessment,0,"[13.024151793746118, 7.654947161923032, 4.5881388992570855]",90.03199768066406
219.14,,,2,4,0,None,0,"[3.07196925239699, 1.9188734220157366, 0.0]",100.0,None,0,"[2.9541671381229158, 3.940462173158748, 0.0]",100.0,assessment,0,"[48.06983912865222, 8.05773575678331, 3.8171136175444516]",90.31199645996094,assessment,0,"[15.269183262272064, 9.810396113046627, 4.588448697517789]",89.26399993896484
233.74,,,2,4,0,None,0,"[3.072822891587707, 1.9194427517615695, 0.0]",100.0,None,0,"[2.9526315090465696, 3.942110102761268, 0.0]",100.0,assessment,0,"[53.393804842901964, 8.745736352511715, 4.063494767561317]",88.75199890136719,assessment,0,"[16.211063003926597, 9.920468211517788, 4.784858434807495]",88.30400085449219
247.71,,,2,4,0,None,0,"[3.072890172823142, 1.9193916301619658, 0.0]",100.0,None,0,"[2.9511943439325887, 3.9436869836584676, 0.0]",100.0,assessment,0,"[58.854345927672384, 9.451393559281145, 4.326806240677686]",87.97599792480469,assessment,0,"[17.726514208271865, 10.060534920572463, 4.983245331595908]",87.53600311279297
253.055,,,3,4,0,None,0,"[3.0730423198910715, 1.9195023238579259, 0.0]",100.0,None,0,"[2.9506277211359886, 3.9442674697065256, 0.0]",100.0,assessment,0,"[60.967039839123586, 9.724418055919465, 4.43409647049246]",87.1760025024414,assessment,0,"[18.59956646189079, 9.789957521485245, 5.023202127334184]",87.23200225830078
253.695,on_gs,pioneer3at_2,3,4,0,None,0,"[3.0730658756026235, 1.9195206644336331, 0.0]",100.0,None,0,"[2.9505935841314646, 3.944307833937507, 0.0]",100.0,assessment,0,"[61.04212763323638, 9.734115151632679, 4.433636409265551]",87.1760025024414,assessment,0,"[18.55191431749387, 9.811941350198436, 5.0234027105430075]",87.23200225830078
254.305,on_vs,pioneer3at_2,3,4,0,None,0,"[3.0730903646386176, 1.9195409373709929, 0.0]",100.0,None,0,"[2.9505986212662765, 3.944334834847951, 0.0]",100.0,assessment,0,"[61.07843617661281, 9.738808758460522, 4.448496516041959]",87.1760025024414,assessment,0,"[18.57369116429844, 9.807809375258188, 5.033338703452633]",87.23200225830078
258.52,st_app,pioneer3at_2,3,4,0,None,0,"[3.0730499229136408, 1.9194306226017772, 0.0]",100.0,approach,0,"[3.831825367871017, 4.118183807351453, 0.0]",100.0,assessment,0,"[62.03785533826062, 9.862791418552854, 4.4875803333125]",87.1760025024414,assessment,0,"[20.031576936642832, 9.373702344428688, 5.10365137185012]",87.23200225830078
272.19,,,3,4,0,None,0,"[3.0733610725909526, 1.9195940129767952, 0.0]",100.0,approach,0,"[8.878517461488027, 4.524242272895206, 0.0]",98.73899841308594,assessment,0,"[62.023662475355266, 9.84163763155567, 4.486537270598098]",86.51200103759766,assessment,0,"[20.12339459960629, 9.345562793848135, 5.102541633255198]",86.27200317382812
285.135,,,3,4,0,None,0,"[3.07365901042715, 1.919754570203924, 0.0]",100.0,approach,0,"[12.803591620872572, 5.421902462913237, 0.0]",97.9489974975586,assessment,0,"[62.067437242657554, 11.84203858171929, 4.4854261818111665]",85.72000122070312,assessment,0,"[20.964345590359645, 10.04495381930527, 4.913119095432963]",85.72000122070312
297.265,,,3,4,0,None,0,"[3.0738945951961543, 1.9197970546266288, 0.0]",100.0,approach,0,"[17.694129470704123, 5.586740454893574, 0.0]",97.15899658203125,assessment,0,"[64.65565240510264, 11.56463747552853, 4.532154127102306]",85.34400177001953,assessment,0,"[21.14273075207893, 8.940250079320796, 4.915470578868215]",85.72000122070312
310.74,,,3,4,0,None,0,"[3.0741362976937405, 1.9198034995567144, 0.0]",100.0,approach,0,"[23.27120193025198, 5.957430740052041, 0.0]",95.5790023803711,assessment,0,"[65.06400711144697, 11.515414407959927, 4.533218934992507]",84.40799713134766,assessment,0,"[21.880503169611835, 4.898724556338338, 4.929559961101737]",84.31999969482422
324.645,,,3,4,0,None,0,"[3.0743869543929523, 1.9198280717578733, 0.0]",100.0,approach,0,"[28.924416391518257, 6.196534857670926, 0.0]",94.78900146484375,assessment,0,"[67.11032417894559, 9.96561186961825, 4.500149508416557]",83.91999816894531,assessment,0,"[21.87422606264154, 4.934829144735632, 4.928284714051057]",84.0719985961914
337.08,,,3,4,0,None,0,"[3.074481123004872, 1.9198274229664236, 0.0]",100.0,approach,0,"[34.0254864068268, 6.54495744555535, 0.0]",93.9990005493164,assessment,0,"[67.09303850034324, 9.976459156286808, 4.499808288783164]",83.33599853515625,assessment,0,"[19.84886371024779, 4.865310860216519, 4.56955182815264]",83.54399871826172
349.685,,,3,4,0,None,0,"[3.074732872290521, 1.9198798492406708, 0.0]",100.0,approach,0,"[38.03096527674965, 6.833876851352378, 0.0]",93.20899963378906,assessment,0,"[65.77994604403538, 7.912647199075268, 4.491510731213239]",83.3280029296875,assessment,0,"[20.94526982981643, 4.839408043487788, 4.588509180662943]",83.31199645996094
358.03,,,2,4,0,None,0,"[3.074828475938856, 1.9199029029325712, 0.0]",100.0,approach,1,"[39.60158787188437, 6.970128503241062, 0.0]",92.41899871826172,assessment,0,"[64.38392388550561, 5.731390721279399, 4.490007434914983]",82.55999755859375,assessment,0,"[24.041084251842214, 4.75148249480768, 4.639827033744516]",82.68800354003906
358.445,end_app,pioneer3at_2,3,4,0,None,0,"[3.0748488395154423, 1.9198743079532163, 0.0]",100.0,None,1,"[39.60161617163059, 6.970581829925887, 0.0]",92.41899871826172,assessment,0,"[64.35260562637892, 5.682335101472716, 4.486682842939343]",82.55999755859375,assessment,0,"[24.037765270454702, 4.751554966256432, 4.640124637996969]",82.68800354003906
358.785,off_vs,pioneer3at_2,3,4,0,None,0,"[3.074861878730606, 1.9198839494798814, 0.0]",100.0,None,1,"[39.60171554796048, 6.970985023989403, 0.0]",92.41899871826172,assessment,0,"[64.24869239453511, 5.519619546203957, 4.484360276908623]",82.55999755859375,assessment,0,"[24.06706218101926, 4.750741461385781, 4.643176292329124]",82.68800354003906
359.51,on_vs,pioneer3at_2,3,4,0,None,0,"[3.0748837053704507, 1.9198999577464264, 0.0]",100.0,None,1,"[39.60194224912926, 6.971549243714513, 0.0]",92.41899871826172,assessment,0,"[63.998831811825745, 5.1283910348591615, 4.487562738102256]",82.55999755859375,assessment,0,"[24.517484915039887, 4.738446212982851, 4.654351559469176]",82.68800354003906
