,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.18,,pioneer3at_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
9.78,,UAV_2,0,4,0,None,0,"[3.004587528971946, 1.0166950051034471, 0.0]",100,None,0,"[2.99791741462276, 2.981003740815707, 0.0]",100,None,0,"[0.9963689944914785, 0.9981056685495834, 0.6572278521227989]",100,None,0,"[0.9740235752570569, 2.9740712581371835, 0.6820176953209086]",100
24.76,,,0,4,0,None,0,"[3.0146674044085855, 1.037589390474767, 0.0]",100.0,None,0,"[2.9938227081442372, 2.963450549708962, 0.0]",100.0,None,0,"[0.9959034808252273, 0.997744318111466, 0.6572419271084785]",100.0,None,0,"[0.9765623789714396, 2.973147142664675, 0.6820573288444224]",100.0
37.47,,,1,4,0,None,0,"[3.020909496814604, 1.0498401589037003, 0.0]",100.0,None,0,"[2.991216875079932, 2.9486857134105326, 0.0]",100.0,None,0,"[0.9960646796839507, 0.997684620471312, 0.6572786634263776]",100.0,None,0,"[0.9789707853884171, 2.9725061533113557, 0.6820997539271991]",100.0
40.42,uav_st_assess,UAV_2,1,4,0,None,0,"[3.0224722516570752, 1.052697188171389, 0.0]",100.0,None,0,"[2.990774871032843, 2.944987568646586, 0.0]",100.0,None,0,"[0.9958749884110586, 0.9977766820731924, 0.6571779194998993]",100.0,assessment,0,"[1.0111712866009912, 2.984672385396142, 1.5420573779516293]",100.0
54.41,,,1,4,0,None,0,"[3.0302219517143523, 1.0655255836209832, 0.0]",100.0,None,0,"[2.9890712034861258, 2.9262955086879225, 0.0]",100.0,None,0,"[0.9958421837396506, 0.997830686765684, 0.6572491403755031]",100.0,assessment,0,"[0.9898931343831192, 2.998772964543224, 4.511779723456737]",99.09600067138672
69.97,,,1,4,0,None,0,"[3.0397003526011606, 1.0792745792944785, 0.0]",100.0,None,0,"[2.9812943154104947, 2.9097405741022526, 0.0]",100.0,None,0,"[0.9958299190935391, 0.9979998071261497, 0.6572499576358114]",100.0,assessment,0,"[4.6969894304888165, 3.9220214024010693, 4.515906964056501]",98.40799713134766
86.325,,,1,4,0,None,0,"[3.05064900457219, 1.0933147434540527, 0.0]",100.0,None,0,"[2.9620011250195355, 2.883039727647047, 0.0]",100.0,None,0,"[0.9957804710684373, 0.9981088635480861, 0.6572466879681912]",100.0,assessment,0,"[5.074466061631733, 5.811861649564943, 4.568141263461903]",97.3280029296875
100.555,,,1,4,0,None,0,"[3.0611156353874387, 1.105417486776286, 0.0]",100.0,None,0,"[2.91727674622685, 2.815603700796285, 0.0]",100.0,None,0,"[0.995801446780405, 0.998084680547527, 0.6572468698788936]",100.0,assessment,0,"[4.426594751774308, 6.722043874004488, 4.6413009642894565]",96.69599914550781
114.015,,,1,4,0,None,0,"[3.074814438112363, 1.1210080468709442, 0.0]",100.0,None,0,"[2.90843220750663, 2.7832173990649745, 0.0]",100.0,None,0,"[0.9958155065375247, 0.9982216032748141, 0.6572493804489838]",100.0,assessment,0,"[3.1223132090465917, 7.661658713573837, 4.728261073242427]",95.447998046875
126.895,,,1,4,0,None,0,"[3.0922309146319535, 1.1400773353749438, 0.0]",100.0,None,0,"[2.915646196021888, 2.7692225183274832, 0.0]",100.0,None,0,"[0.9958249273481322, 0.9981998526690283, 0.6572499923905639]",100.0,assessment,0,"[3.2504765308689145, 8.551591824114757, 4.792142839553112]",95.447998046875
141.23,,,1,4,0,None,0,"[3.1127258020972577, 1.1627852393896307, 0.0]",100.0,None,0,"[2.9254968539997224, 2.748798488268665, 0.0]",100.0,None,0,"[0.995850200626697, 0.9981794994678973, 0.6572501990962019]",100.0,assessment,0,"[3.5018045974124954, 10.219499511244319, 4.919270198167605]",94.68800354003906
156.12,,,1,4,0,None,0,"[3.1250520503266577, 1.177206947832835, 0.0]",100.0,None,0,"[2.934523747457788, 2.720729172218647, 0.0]",100.0,None,0,"[0.9958496189951876, 0.9983087061723845, 0.657249573800967]",100.0,assessment,0,"[7.3549494293959325, 11.882569848977951, 5.0538182595787156]",93.54399871826172
170.51,,,1,4,0,None,0,"[3.1297959133422326, 1.1847281859234011, 0.0]",100.0,None,0,"[2.9580566166434683, 2.693664727820607, 0.0]",100.0,None,0,"[0.9960383579326498, 0.9983433159689155, 0.6572506859354101]",100.0,assessment,0,"[8.215429725098828, 11.503371573896274, 5.120028399848977]",93.13600158691406
184.645,,,1,4,0,None,0,"[3.1375239256345657, 1.1892463470294217, 0.0]",100.0,None,0,"[2.977006744825935, 2.6755147398776686, 0.0]",100.0,None,0,"[0.9960023173774646, 0.9983128561488704, 0.6571875517635583]",100.0,assessment,0,"[10.039642235987623, 10.748692191632708, 5.244006499891202]",91.79199981689453
199.015,,,1,4,0,None,0,"[3.1348546673752975, 1.183362018234113, 0.0]",100.0,None,0,"[2.9951394657575716, 2.6577276046211415, 0.0]",100.0,None,0,"[0.995878743541427, 0.9983781730524912, 0.6572055363312845]",100.0,assessment,0,"[10.32154443590129, 9.980208333481105, 5.044013117557972]",91.38400268554688
