,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.005,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.25,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
8.13,,0,4,0,None,0,"[3.0047843542541584, 1.0171529602331724, 0.0]",100,None,0,"[2.998900313875581, 2.984719328787522, 0.0]",100,None,0,"[0.9956581832525517, 0.9994781210190857, 0.6572291458068825]",100,None,0,"[0.9742059222936179, 2.9785080726770903, 0.6821124764468198]",100
22.68,,0,4,0,None,0,"[3.014572272009749, 1.037389350525767, 0.0]",100.0,None,0,"[2.9949668826461924, 2.9678450609988136, 0.0]",100.0,None,0,"[0.9961282456944377, 0.9986236612253314, 0.6572500313391708]",100.0,None,0,"[0.975380128700964, 2.978416920419976, 0.6821677621728113]",100.0
37.005,,0,4,0,None,0,"[3.021636154344042, 1.0511638005326724, 0.0]",100.0,None,0,"[2.9916007942424367, 2.9511962892580876, 0.0]",100.0,None,0,"[0.9972991263608418, 0.9985871187039173, 0.657259794197847]",100.0,None,0,"[0.976841137250543, 2.978395834373495, 0.6822028020473611]",100.0
49.875,,0,4,0,None,0,"[3.0286741527162824, 1.0630921423148068, 0.0]",100.0,None,0,"[2.9897975794054954, 2.9350440810551994, 0.0]",100.0,None,0,"[0.9968643241998293, 0.9983145671597702, 0.6571914336386954]",100.0,None,0,"[0.9780714610355562, 2.978357807317843, 0.6822315418704604]",100.0
50.59,,0,4,0,None,0,"[3.029130465484625, 1.0637863053576064, 0.0]",100.0,None,0,"[2.9898269683051266, 2.9340200392592983, 0.0]",100.0,None,0,"[0.9968544581410694, 0.9982528317976337, 0.6572203619611451]",100.0,None,0,"[0.9781084230627957, 2.978388877072171, 0.6822333311135467]",100.0
52.48,uav_st_assess,1,4,0,None,0,"[3.0301641510811277, 1.065435759633524, 0.0]",100.0,None,0,"[2.989735288810012, 2.9312354007163357, 0.0]",100.0,None,0,"[0.9968706841173621, 0.9982064542191397, 0.6572109107910229]",100.0,assessment,0,"[1.015676176878418, 2.9856505764914254, 1.5760341321233204]",100.0
67.505,,1,4,0,None,0,"[3.0393182244033743, 1.0787519499406037, 0.0]",100.0,None,0,"[2.983310736645186, 2.913978342743726, 0.0]",100.0,None,0,"[0.9979714662963028, 0.997872341996805, 0.6572057200250311]",100.0,assessment,0,"[1.953182593351788, 3.2787126154329793, 1.6064483931583444]",99.8479995727539
82.075,,1,4,0,None,0,"[3.048970559909338, 1.0912909908246946, 0.0]",100.0,None,0,"[2.9743913773692547, 2.8999896691437628, 0.0]",100.0,None,0,"[0.9971446856183164, 0.99739887436375, 0.6572241976440218]",100.0,assessment,0,"[6.020352984700897, 4.520111524447019, 1.9111857609410963]",98.44000244140625
96.63,,1,4,0,None,0,"[3.0595856526897927, 1.1036932841202627, 0.0]",100.0,None,0,"[2.9354156255476407, 2.843840376902028, 0.0]",100.0,None,0,"[0.9971157722862257, 0.9968010346515392, 0.657193226701311]",100.0,assessment,0,"[10.11504916292048, 5.772136684286064, 2.216841032861744]",97.65599822998047
111.245,,1,4,0,None,0,"[3.0736161133814806, 1.1196614312855842, 0.0]",100.0,None,0,"[2.907647733824436, 2.790026082561482, 0.0]",100.0,None,0,"[0.9974740382098078, 0.9963778791542314, 0.6572661073617876]",100.0,assessment,0,"[14.278184072912602, 7.045112704239673, 2.5216457550219205]",96.05599975585938
117.185,,2,4,0,None,0,"[3.081373212663202, 1.1285046593999937, 0.0]",100.0,None,0,"[2.9090952651130895, 2.7818618118949576, 0.0]",100.0,None,0,"[0.9969953449058526, 0.9961216944188633, 0.6572151005455046]",100.0,assessment,0,"[16.603338056199945, 7.7561010025188954, 2.6667366884294266]",96.05599975585938
