,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.005,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.025,,pioneer3at_1,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.11,,UAV_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.46,,pioneer3at_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
7.67,,,0,4,0,None,0,"[3.0045161551346036, 1.0165124438565436, 0.0]",100,None,0,"[2.9989337745550477, 2.9847730632794365, 0.0]",100,None,0,"[0.9976716371866823, 0.9989250112479767, 0.6572609419231321]",100,None,0,"[0.9768056338964477, 2.9763818741937906, 0.6821469579727264]",100
20.71,,,0,4,0,None,0,"[3.0136198377024446, 1.0354078046163269, 0.0]",100.0,None,0,"[2.9954089061116345, 2.969556315533467, 0.0]",100.0,None,0,"[0.9973425054558165, 0.9985387533701154, 0.6572595127282318]",100.0,None,0,"[0.9788252608328724, 2.97582623481474, 0.6821829381106844]",100.0
33.415,,,1,4,0,None,0,"[3.0198284968427846, 1.0478706693141102, 0.0]",100.0,None,0,"[2.9922006779889583, 2.9549353529992946, 0.0]",100.0,None,0,"[0.9978628410745173, 0.9982593757035765, 0.6572565225890342]",100.0,None,0,"[0.9810600019973329, 2.975256802020781, 0.6822224305556744]",100.0
36.06,uav_st_assess,UAV_2,1,4,0,None,0,"[3.0212200659551742, 1.0504082786254334, 0.0]",100.0,None,0,"[2.9917414422219686, 2.951796379676493, 0.0]",100.0,None,0,"[0.9980704200692829, 0.9982658527666682, 0.6572579908610572]",100.0,assessment,0,"[1.0136753253081057, 2.987626704758161, 1.5198666699482024]",100.0
50.76,,,1,4,0,None,0,"[3.0292447471135375, 1.0639667745058439, 0.0]",100.0,None,0,"[2.9898299373495747, 2.9332818102027582, 0.0]",100.0,None,0,"[0.9994105664645081, 0.9983312999334939, 0.6572680315606085]",100.0,assessment,0,"[0.9809758423289936, 2.976618625764362, 4.4971983551029675]",99.05599975585938
64.38,,,1,4,0,None,0,"[3.037366798755405, 1.0760437207841684, 0.0]",100.0,None,0,"[2.9844826425999664, 2.916345860480433, 0.0]",100.0,None,0,"[1.0006776150640069, 0.9983870678618795, 0.6572774529337445]",100.0,assessment,0,"[5.268458933949462, 3.2174469435931417, 4.502438877335013]",98.3280029296875
79.45,,,1,4,0,None,0,"[3.047175695583404, 1.0890634772521093, 0.0]",100.0,None,0,"[2.976757661523291, 2.9015131273082426, 0.0]",100.0,None,0,"[1.002111912768019, 0.9983850781888298, 0.6572659660394082]",100.0,assessment,0,"[10.848542913651446, 3.5305521323166853, 4.507942883504985]",97.53600311279297
93.015,,,1,4,0,None,0,"[3.056883714780492, 1.1006657827741602, 0.0]",100.0,None,0,"[2.9457730613743873, 2.8599326584494706, 0.0]",100.0,None,0,"[1.0034599829840327, 0.998514281110373, 0.6573051625180037]",100.0,assessment,0,"[15.48209595638904, 3.7904222178592395, 4.5082946668548045]",95.95999908447266
105.66,,,1,4,0,None,0,"[3.0664114206197195, 1.1113608600576141, 0.0]",100.0,None,0,"[2.907460059825019, 2.8003849150268536, 0.0]",100.0,None,0,"[1.0047081138416951, 0.99854152952394, 0.6573071360006557]",100.0,assessment,0,"[20.28297324023601, 4.059678301858681, 4.514975950305698]",95.1760025024414
119.81,,,1,4,0,None,0,"[3.084620904441102, 1.1317363517996113, 0.0]",100.0,None,0,"[2.9104922410415988, 2.7788177691509, 0.0]",100.0,None,0,"[1.0061932675779484, 0.9985947321587342, 0.6573180223334663]",100.0,assessment,0,"[25.276904608141685, 4.339753254733341, 4.522211632090766]",94.39199829101562
131.69,,,1,4,0,None,0,"[3.1019422157320133, 1.1508686009037443, 0.0]",100.0,None,0,"[2.917228352466428, 2.763790056350437, 0.0]",100.0,None,0,"[1.007527490539091, 0.9986582840662174, 0.6573354352424392]",100.0,assessment,0,"[27.41750968302206, 4.459811271981025, 4.523600764300165]",93.12799835205078
144.94,,,1,4,0,None,0,"[3.1196407099976136, 1.1703026641081427, 0.0]",100.0,None,0,"[2.9268279512024686, 2.743966638233396, 0.0]",100.0,None,0,"[1.0090115066741625, 0.9986319512725483, 0.6573173291303573]",100.0,assessment,0,"[27.420981955711778, 4.4600061778890225, 4.523010317849853]",93.12799835205078
158.39,,,1,4,0,None,0,"[3.1267405344972308, 1.179108579715148, 0.0]",100.0,None,0,"[2.935859489335434, 2.7186504391804065, 0.0]",100.0,None,0,"[1.010603469969522, 0.9987606228485696, 0.6573583922608884]",100.0,assessment,0,"[27.691852189712193, 4.562824127310856, 4.502876033795238]",93.12799835205078
172.795,,,1,4,0,None,0,"[3.1319770924518, 1.1845038294921952, 0.0]",100.0,None,0,"[2.959558812729216, 2.6917404192703343, 0.0]",100.0,None,0,"[1.0092351235398151, 0.9972646741333887, 0.6573517775370624]",100.0,assessment,0,"[29.015083444665052, 5.004518443111735, 4.483457571143429]",92.23200225830078
188.96,,,1,4,0,None,0,"[3.1376926223912194, 1.1882276327087393, 0.0]",100.0,None,0,"[2.980845144124315, 2.671778182614822, 0.0]",100.0,None,0,"[1.0075537582125897, 0.9956165209451113, 0.6573333118741408]",100.0,assessment,0,"[30.04766744055044, 4.722941434732085, 4.50022602221129]",91.8239974975586
205.1,,,1,4,0,None,0,"[3.133291119777254, 1.1802324984239219, 0.0]",100.0,None,0,"[3.0001750524134483, 2.6543369597426265, 0.0]",100.0,None,0,"[1.0059819351557238, 0.9941537580897116, 0.6573322444359685]",100.0,assessment,0,"[30.114289732557683, 5.0024019486438345, 4.498512151506731]",91.38400268554688
219.395,,,1,4,0,None,0,"[3.123577028787179, 1.1765264765746017, 0.0]",100.0,None,0,"[3.010430933611455, 2.646542367273555, 0.0]",100.0,None,0,"[1.004500336036662, 0.9925170225227674, 0.6572601937149419]",100.0,assessment,0,"[30.55479525890651, 7.312188627118371, 4.509922144180852]",90.75199890136719
234.16,,,1,4,0,None,0,"[3.125293532125697, 1.1686100661872552, 0.0]",100.0,None,0,"[3.0228096770703043, 2.6374799811938665, 0.0]",100.0,None,0,"[1.0026459429820658, 0.9913308679724068, 0.6572551567275823]",100.0,assessment,0,"[30.271604067121807, 9.174030942349564, 4.48498596615689]",89.9280014038086
247.92,,,1,4,0,None,0,"[3.119584689263669, 1.1468247676727341, 0.0]",100.0,None,0,"[3.036876989141696, 2.622713786651402, 0.0]",100.0,None,0,"[1.0015154233214216, 0.9905630307573587, 0.6572663889443892]",100.0,assessment,0,"[30.134573665115568, 10.04336396712966, 4.472746472333987]",89.19200134277344
