,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.26,,pioneer3at_1,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
1.17,,UAV_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
7.315,,,0,4,0,None,0,"[3.004752706936292, 1.988894383421974, 0.0]",100,None,0,"[2.9982818727283833, 3.980419313619435, 0.0]",100,None,0,"[0.9965868982440445, 1.9922495742950057, 0.661111645908224]",100,None,0,"[0.9581567520978819, 3.892684734162698, 0.7132564549885625]",100
19.485,,,0,4,0,None,0,"[3.011145185760505, 1.9747901259813576, 0.0]",100.0,None,0,"[2.9958127428185124, 3.9636973882656648, 0.0]",100.0,None,0,"[0.9945388996662284, 1.9883497200042595, 0.6607811858931871]",100.0,None,0,"[0.9253218645628156, 3.7995920382375914, 0.7066784497727376]",100.0
31.575,,,0,4,0,None,0,"[3.0179671991368866, 1.9633174908402522, 0.0]",100.0,None,0,"[2.9926044270467997, 3.9458276394627108, 0.0]",100.0,None,0,"[0.993747054916702, 1.9859276282242078, 0.6609324188371598]",100.0,None,0,"[0.9280663053051404, 3.7961764486462983, 0.7065585589780672]",100.0
31.715,,,1,4,0,None,0,"[3.018090467175502, 1.9631435463248113, 0.0]",100.0,None,0,"[2.9925723620212903, 3.9457072462967866, 0.0]",100.0,None,0,"[0.9938192697016153, 1.9859057864605347, 0.6609756628052587]",100.0,None,0,"[0.928063071847615, 3.7961726855996316, 0.7065580056659189]",100.0
34.795,uav_st_app,UAV_1,1,4,0,None,0,"[3.0198109939713205, 1.9605718810629569, 0.0]",100.0,None,0,"[2.99169705402365, 3.9444156568295776, 0.0]",100.0,approach,0,"[1.021378673089392, 1.994245756713078, 1.4918275600802917]",100.0,None,0,"[0.928882837312913, 3.795183768435488, 0.7065257318175232]",100.0
48.645,,,1,4,0,None,0,"[3.027631446397474, 1.949211629649528, 0.0]",100.0,None,0,"[2.9883153707398895, 3.942697330459705, 0.0]",100.0,approach,0,"[3.8895672652899127, 4.770435206949172, 3.5030433577156]",99.42400360107422,None,0,"[0.9321173445486447, 3.7912386574115353, 0.7063956419577616]",100.0
62.62,,,1,4,0,None,0,"[3.03664181468173, 1.9423473249439183, 0.0]",100.0,None,0,"[2.985010635367284, 3.94141654253422, 0.0]",100.0,approach,0,"[7.3528248838953285, 8.135097682435802, 6.00809615981215]",97.8479995727539,None,0,"[0.93561492556575, 3.7871309488819773, 0.7062669511053584]",100.0
