,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.27,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
9.315,,0,4,0,None,0,"[3.005846647564357, 1.0194931291563956, 0.0]",100,None,0,"[2.998510518638539, 2.98310361956488, 0.0]",100,None,0,"[0.9960325545322184, 0.9995722854976692, 0.6572515654983268]",100,None,0,"[0.9754516907884166, 2.9802483391844743, 0.6822165132467045]",100
23.52,,0,4,0,None,0,"[3.0149468285677616, 1.0382177823674508, 0.0]",100.0,None,0,"[2.994644871313553, 2.9665426853532764, 0.0]",100.0,None,0,"[0.995853228692432, 0.9986307038837786, 0.6571925808592817]",100.0,None,0,"[0.9764229390350967, 2.980275835037233, 0.6821597424015463]",100.0
37.105,,0,4,0,None,0,"[3.021740535803701, 1.0513523336855366, 0.0]",100.0,None,0,"[2.991528891085834, 2.9507344893326013, 0.0]",100.0,None,0,"[0.9958744306821835, 0.9986519672710602, 0.6572470034206045]",100.0,None,0,"[0.9771928075121569, 2.980091495359616, 0.6821686199898832]",100.0
50.955,,0,4,0,None,0,"[3.0293015262278575, 1.0640855957945994, 0.0]",100.0,None,0,"[2.9897346067157065, 2.933349479615435, 0.0]",100.0,None,0,"[0.9959313010259752, 0.9982220957718987, 0.6572533147356636]",100.0,None,0,"[0.9784913888434837, 2.980098352376496, 0.682200202026055]",100.0
64.1,,0,4,0,None,0,"[3.0371799583103556, 1.0757808801838287, 0.0]",100.0,None,0,"[2.9845401909187372, 2.9170244537626147, 0.0]",100.0,None,0,"[0.995976495448688, 0.9980568972737576, 0.6572794486781122]",100.0,None,0,"[0.9794158253013201, 2.9803611721926346, 0.6822297577487993]",100.0
68.27,,0,4,0,None,0,"[3.039766345377526, 1.079389805706982, 0.0]",100.0,None,0,"[2.9827008967194875, 2.9129503516900206, 0.0]",100.0,None,0,"[0.995883898526643, 0.9979954861967607, 0.6571904040745329]",100.0,None,0,"[0.979940645236363, 2.9804977282677125, 0.6822529960847382]",100.0
71.875,uav_st_assess,1,4,0,None,0,"[3.0420916993793274, 1.08251522120649, 0.0]",100.0,None,0,"[2.9810354506310297, 2.9092362355927937, 0.0]",100.0,None,0,"[0.9959249080596777, 0.9977351857939388, 0.6572495173901862]",100.0,assessment,0,"[0.9909765659575812, 2.9828595865457594, 1.4948533753156343]",99.87200164794922
87.69,,1,4,0,None,0,"[3.053001755215171, 1.096129561315987, 0.0]",100.0,None,0,"[2.9620011250195355, 2.883039727647047, 0.0]",100.0,None,0,"[0.9960531227315981, 0.9975406525239611, 0.6571639951030362]",100.0,assessment,0,"[1.1084539172020647, 3.0103523869071003, 1.5345466301804938]",99.8479995727539
