,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.125,,pioneer3at_1,0,4,0,None,0,[],100,None,0,[],100,None,0,"[0.9970514559809464, 1.9920513730630751, 0.6639337639487762]",100,None,0,[],100
8.08,,pioneer3at_2,0,4,0,None,0,"[3.004324748606942, 1.9900647768666078, 0.0]",100,None,0,"[2.99837774065571, 3.979214314987807, 0.0]",100,None,0,"[0.9952364763347821, 1.991426967863766, 0.6610431668317918]",100,None,0,"[0.9270303560531842, 3.8051716539562466, 0.70699817494202]",100
20.285,,,0,4,0,None,0,"[3.0110067921645887, 1.9760646986996249, 0.0]",100.0,None,0,"[2.996118871240647, 3.9625844956259986, 0.0]",100.0,None,0,"[0.9938179383788379, 1.9878740668630996, 0.6609776243105853]",100.0,None,0,"[0.9276212665380745, 3.8020575172664155, 0.7067734168422742]",100.0
32.41,,,0,4,0,None,0,"[3.017452937148894, 1.9640956533871383, 0.0]",100.0,None,0,"[2.992309197068266, 3.944950483010405, 0.0]",100.0,None,0,"[0.9936062881729801, 1.9859444398309074, 0.6609889823718451]",100.0,None,0,"[0.9280245098717079, 3.7985299033836886, 0.7065778320145676]",100.0
35.665,,,1,4,0,None,0,"[3.0193570215730072, 1.9612537572533113, 0.0]",100.0,None,0,"[2.991516798407143, 3.9444670850886663, 0.0]",100.0,None,0,"[0.9935406291238424, 1.9854671813143403, 0.6609631733901431]",100.0,None,0,"[0.9281662611045481, 3.797538393681989, 0.7065247158794937]",100.0
39.455,uav_st_assess,UAV_2,1,4,0,None,0,"[3.021500096973217, 1.9581152579822891, 0.0]",100.0,None,0,"[2.990338141639058, 3.9435555176454327, 0.0]",100.0,None,0,"[0.9936014758422321, 1.9851451898203711, 0.6609623312801904]",100.0,assessment,0,"[0.9578417727919707, 3.8347809674156754, 1.5112358717832286]",100.0
53.69,,,1,4,0,None,0,"[3.0295889251486203, 1.9469490044656144, 0.0]",100.0,None,0,"[2.9871308557113934, 3.942174734720886, 0.0]",100.0,None,0,"[0.9926657454351518, 1.9817120795547272, 0.6608498501289304]",100.0,assessment,0,"[1.8479654892367627, 6.31318406682872, 3.0346739844888355]",99.1520004272461
58.73,,,2,4,0,None,0,"[3.0347876354863548, 1.9448765759136932, 0.0]",100.0,None,0,"[2.9860314694945753, 3.941695825211702, 0.0]",100.0,None,0,"[0.9921852561996106, 1.9802851014248362, 0.6608672780047268]",100.0,assessment,0,"[2.3641054221075244, 7.754646461923804, 3.930054280871424]",99.1520004272461
63.17,uav_st_assess,UAV_1,2,4,0,None,0,"[3.036347088969664, 1.9428804905741657, 0.0]",100.0,None,0,"[2.984866619637109, 3.94126121938042, 0.0]",100.0,assessment,0,"[1.0040842974702788, 1.9858978290190767, 1.5047486961570324]",99.91999816894531,assessment,0,"[2.9074143951447566, 9.270026036160772, 4.533032822499954]",98.36000061035156
79.19,,,2,4,0,None,0,"[3.0410461740644923, 1.936458058667495, 0.0]",100.0,None,0,"[2.979903553935433, 3.93780547333344, 0.0]",100.0,assessment,0,"[6.331136981115649, 3.032955870552919, 1.892209188474287]",99.39199829101562,assessment,0,"[2.6434797656164934, 10.032629172107876, 5.060140129190178]",97.79199981689453
93.945,,,2,4,0,None,0,"[3.044987168470135, 1.9306150466312093, 0.0]",100.0,None,0,"[2.9745285261438044, 3.9332270878744775, 0.0]",100.0,assessment,0,"[11.85869665168467, 4.116349619384189, 2.274928183638088]",97.80799865722656,assessment,0,"[4.963319185636006, 9.779961157179065, 5.048784486678881]",96.91999816894531
110.7,,,2,4,0,None,0,"[3.0506817487124556, 1.9238420370131717, 0.0]",100.0,None,0,"[2.969872297412153, 3.9302876179283017, 0.0]",100.0,assessment,0,"[17.47533001277522, 5.217170916548756, 2.6754979131863585]",96.24800109863281,assessment,0,"[6.806107436655177, 8.559268553968076, 5.041066912500204]",95.68000030517578
125.27,,,2,4,0,None,0,"[3.0567730386357117, 1.9182706231662165, 0.0]",100.0,None,0,"[2.9643009747102145, 3.9294960974247424, 0.0]",100.0,assessment,0,"[22.903794874727872, 6.281114531055883, 3.0406157207755746]",95.45600128173828,assessment,0,"[6.545872886215756, 4.937206213786367, 5.018315018537068]",94.88800048828125
141.995,,,2,4,0,None,0,"[3.061993918323613, 1.9160450949376082, 0.0]",100.0,None,0,"[2.962475627778976, 3.9314760251222545, 0.0]",100.0,assessment,0,"[29.037762688247778, 7.483343785406311, 3.500349187551395]",93.88800048828125,assessment,0,"[9.894120451350721, 4.734088672289838, 4.63985828333774]",93.57599639892578
158.755,,,2,4,0,None,0,"[3.0644824217655433, 1.9161161029649298, 0.0]",100.0,None,0,"[2.960589855087043, 3.933459691198163, 0.0]",100.0,assessment,0,"[34.944042942981596, 8.640937344349627, 3.904073771069205]",93.12000274658203,assessment,0,"[10.094537989947368, 6.4494619127233666, 4.59838808836031]",93.0719985961914
174.525,,,2,4,0,None,0,"[3.0661851721747166, 1.9163766662496384, 0.0]",100.0,None,0,"[2.9587848212828045, 3.935377739469451, 0.0]",100.0,assessment,0,"[40.45289216427289, 9.673597098492522, 4.340885631879809]",91.55999755859375,assessment,0,"[9.762111499131992, 8.049940068620081, 4.629220735926699]",91.80799865722656
187.7,,,2,4,0,None,0,"[3.068286845944956, 1.9171831230970993, 0.0]",100.0,None,0,"[2.957420354310925, 3.936916197163664, 0.0]",100.0,assessment,0,"[40.801589610083916, 9.375722836335505, 4.360588783644745]",90.76799774169922,assessment,0,"[8.73802893202171, 10.306134629972, 4.738983801699722]",91.03199768066406
201.54,,,2,4,0,None,0,"[3.0704184247173387, 1.9180038066158598, 0.0]",100.0,None,0,"[2.955961310746435, 3.9384981382789226, 0.0]",100.0,assessment,0,"[40.81722764369347, 9.394065003854026, 4.349911312886773]",89.16799926757812,assessment,0,"[10.93106641493751, 11.294472458669286, 4.989649194557462]",89.73600006103516
216.3,,,2,4,0,None,0,"[3.07161547377379, 1.9188076834363506, 0.0]",100.0,None,0,"[2.954355797773373, 3.9402149351055415, 0.0]",100.0,assessment,0,"[40.433335929541094, 9.834234998146464, 4.247432791167225]",88.36799621582031,assessment,0,"[11.018674935833829, 11.300964660990124, 4.994265807999002]",89.68000030517578
