,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.075,,pioneer3at_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.555,,pioneer3at_1,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
7.165,,,0,4,0,None,0,"[3.004896886414767, 1.9891447582510502, 0.0]",100,None,0,"[2.998255573489241, 3.980525385697125, 0.0]",100,None,0,"[0.9962957589439743, 1.992123344015885, 0.6611077196186514]",100,None,0,"[0.9486821006483102, 3.8640713477850848, 0.7108676061850369]",100
20.015,,,0,4,0,None,0,"[3.011522902421339, 1.9742923766191864, 0.0]",100.0,None,0,"[2.995673805988586, 3.9628897945283503, 0.0]",100.0,None,0,"[0.9939230384044822, 1.9867207293115656, 0.6609518860919086]",100.0,None,0,"[0.9544656423015121, 3.8572602423773272, 0.7106167369468056]",100.0
30.235,,,0,4,0,None,0,"[3.0172333930096285, 1.964440868449225, 0.0]",100.0,None,0,"[2.9929893425738774, 3.947902571505791, 0.0]",100.0,None,0,"[0.9938901235825811, 1.9847350226637306, 0.6609576807284376]",100.0,None,0,"[0.9582817737288563, 3.8530115640962914, 0.7104651033439994]",100.0
33.045,uav_st_assess,UAV_2,1,4,0,None,0,"[3.0188375392611446, 1.9620249055155017, 0.0]",100.0,None,0,"[2.991957911814528, 3.944620981035935, 0.0]",100.0,None,0,"[0.9938213613406782, 1.9840279085930714, 0.6609588335947868]",100.0,assessment,0,"[0.9905636615736576, 3.904089652238156, 1.5578532462001982]",100.0
46.08,,,1,4,0,None,0,"[3.0262113139254523, 1.951248654474892, 0.0]",100.0,None,0,"[2.9888463729177546, 3.942987858756986, 0.0]",100.0,None,0,"[0.9938711964188329, 1.9819270568213474, 0.6608431797095251]",100.0,assessment,0,"[0.9552829234353782, 3.854216481541079, 4.540032544063634]",99.35199737548828
51.72,,,1,4,0,None,0,"[3.029416113186006, 1.9470820173546557, 0.0]",100.0,None,0,"[2.9876075708155136, 3.942395924548051, 0.0]",100.0,None,0,"[0.9936403560763535, 1.9810535214744251, 0.6608908451276104]",100.0,assessment,0,"[2.1030053813077654, 3.8595276956457916, 4.538744044061584]",98.72000122070312
55.165,uav_st_assess,UAV_1,2,4,0,None,0,"[3.0329109791559383, 1.9456188464734712, 0.0]",100.0,None,0,"[2.9868777396857045, 3.9420546764095565, 0.0]",100.0,assessment,0,"[1.0165117139662971, 1.9938256690943164, 1.4964125872037142]",100.0,assessment,0,"[3.6411518667365224, 3.8517708523033374, 4.539108433214376]",98.72000122070312
