,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.13,,pioneer3at_2,0,4,0,None,0,[],100,None,0,[],100,None,0,"[1.0000000018285728, 2.0, 0.6625429507096975]",100,None,0,[],100
7.48,,UAV_1,0,4,0,None,0,"[3.003479081364097, 1.9897918619673818, 0.0]",100,None,0,"[2.9982553083433965, 3.9797059144679343, 0.0]",100,None,0,"[0.995377934904043, 1.9908934020231208, 0.6610836166125861]",100,None,0,"[0.9550643185604794, 3.8586725004882294, 0.7106784478361788]",100
19.895,,,0,4,0,None,0,"[3.0110744577724993, 1.9760758379354333, 0.0]",100.0,None,0,"[2.995939998717197, 3.962770498320257, 0.0]",100.0,None,0,"[0.9936134179947566, 1.9866129312108816, 0.6609406045217306]",100.0,None,0,"[0.9599186939401502, 3.853233481123984, 0.7104863152690104]",100.0
31.61,,,0,4,0,None,0,"[3.0172903625322753, 1.9643541710336716, 0.0]",100.0,None,0,"[2.9924626657298576, 3.9454251694681584, 0.0]",100.0,None,0,"[0.9936029318816854, 1.985888934861654, 0.6610044646632791]",100.0,None,0,"[0.9643793608842308, 3.847588626915384, 0.7102723286785829]",100.0
43.515,,,0,4,0,None,0,"[3.024106257664132, 1.954305032044643, 0.0]",100.0,None,0,"[2.9893181222209666, 3.9431467658975223, 0.0]",100.0,None,0,"[0.9935396122737913, 1.985117540306616, 0.6609610817037491]",100.0,None,0,"[0.9687997782004025, 3.84180445052254, 0.7100568169373462]",100.0
56.8,,,0,4,0,None,0,"[3.033327897095296, 1.945453501551249, 0.0]",100.0,None,0,"[2.986410289214544, 3.94185690533914, 0.0]",100.0,None,0,"[0.9937425388032533, 1.9838965221031875, 0.6608772409953801]",100.0,None,0,"[0.9736589229976632, 3.835430312383147, 0.7098253988261162]",100.0
59.465,,,1,4,0,None,0,"[3.0356163402207614, 1.944373529542806, 0.0]",100.0,None,0,"[2.98575902753717, 3.941631729271607, 0.0]",100.0,None,0,"[0.9936619395126824, 1.9835234973420466, 0.6609334976552099]",100.0,None,0,"[0.9746341760342414, 3.8341513238761866, 0.7097807733222165]",100.0
62.94,uav_st_assess,UAV_2,1,4,0,None,0,"[3.036442884707666, 1.9428224719213558, 0.0]",100.0,None,0,"[2.9848538124894777, 3.9412499136497257, 0.0]",100.0,None,0,"[0.9938033222835589, 1.9832201734100134, 0.6608648384844814]",100.0,assessment,0,"[1.0044786564724348, 3.8776262131563524, 1.5917533617565902]",99.96800231933594
77.43,,,1,4,0,None,0,"[3.0406798487859676, 1.9369275137568502, 0.0]",100.0,None,0,"[2.980450462529318, 3.938375032996752, 0.0]",100.0,None,0,"[0.9936626619179868, 1.9810372215017478, 0.6608078761173006]",100.0,assessment,0,"[0.9702328989949256, 3.8406466930099334, 4.550485899061417]",99.30400085449219
91.675,,,1,4,0,None,0,"[3.0444133990857636, 1.931302039333087, 0.0]",100.0,None,0,"[2.975395779492144, 3.933711982305405, 0.0]",100.0,None,0,"[0.9936929584621531, 1.9793487667085947, 0.6608345097434049]",100.0,assessment,0,"[5.406218331861023, 4.023283725665769, 4.54859107751862]",98.02400207519531
95.635,,,2,4,0,None,0,"[3.045807950889814, 1.929735366579692, 0.0]",100.0,None,0,"[2.9739510034648626, 3.9326838960707846, 0.0]",100.0,None,0,"[0.9937789384072067, 1.978695441289248, 0.660851144568554]",100.0,assessment,0,"[6.9316126946099645, 4.088176604110765, 4.545653179721232]",98.02400207519531
100.75,uav_st_assess,UAV_1,2,4,0,None,0,"[3.04732458714285, 1.9276658732429708, 0.0]",100.0,None,0,"[2.9729702907404953, 3.931680092678712, 0.0]",100.0,assessment,0,"[1.0307121223107434, 1.9867979069309611, 1.735718498835462]",99.79199981689453,assessment,0,"[8.673631932690542, 4.1622924913373796, 4.548188537979962]",97.24800109863281
117.91,,,2,4,0,None,0,"[3.0536298523020258, 1.921030423445714, 0.0]",100.0,None,0,"[2.9652657190037432, 3.9289349940922675, 0.0]",100.0,assessment,0,"[2.6942111934979813, 2.185636528804737, 4.476551791593392]",99.08799743652344,assessment,0,"[15.198372752608895, 4.439926027475887, 4.547559095342308]",96.45600128173828
136.53,,,2,4,0,None,0,"[3.0609384476230357, 1.9163663343868995, 0.0]",100.0,None,0,"[2.9630316836242456, 3.9308264384328413, 0.0]",100.0,assessment,0,"[9.31648611127136, 3.00580567401306, 4.479721640997609]",97.56800079345703,assessment,0,"[21.73999457808005, 4.718277549778824, 4.5462320793392]",94.87200164794922
151.995,,,2,4,0,None,0,"[3.0636051492235774, 1.9162088064623741, 0.0]",100.0,None,0,"[2.961276624255992, 3.932764426663197, 0.0]",100.0,assessment,0,"[15.127408085564756, 3.72200091738286, 4.482763432276463]",96.0,assessment,0,"[27.342468428810278, 4.956671409408217, 4.539907880496456]",93.31999969482422
167.075,,,2,4,0,None,0,"[3.0657540470765463, 1.9165318861985137, 0.0]",100.0,None,0,"[2.9596138211821357, 3.934567087046441, 0.0]",100.0,assessment,0,"[20.750009201791475, 4.414987350908154, 4.483354763700266]",95.21600341796875,assessment,0,"[33.09969457975526, 5.201648207637712, 4.540343731770501]",92.53600311279297
182.62,,,2,4,0,None,0,"[3.067475082153708, 1.91693013988864, 0.0]",100.0,None,0,"[2.9578698476257923, 3.9364247831387553, 0.0]",100.0,assessment,0,"[26.33179732681283, 5.102938525377062, 4.484100007729286]",93.63999938964844,assessment,0,"[36.93720126137074, 5.364873606496564, 4.542540146225768]",91.02400207519531
197.195,,,2,4,0,None,0,"[3.0700209421676963, 1.9177310082870345, 0.0]",100.0,None,0,"[2.956412834810309, 3.937963526126402, 0.0]",100.0,assessment,0,"[28.468999672414753, 5.366354925408937, 4.483716889036273]",92.86399841308594,assessment,0,"[36.78519900369333, 3.1889456669714353, 4.665538807954481]",90.43199920654297
213.115,,,2,4,0,None,0,"[3.071494799910786, 1.9187582584796865, 0.0]",100.0,None,0,"[2.9548141917263653, 3.9397491790921912, 0.0]",100.0,assessment,0,"[28.46428230734615, 5.353889112432897, 4.48336193628487]",92.86399841308594,assessment,0,"[39.98052176186818, 2.087247219698778, 4.791338143528108]",89.12799835205078
228.315,,,2,4,0,None,0,"[3.0725691793552463, 1.919304398456974, 0.0]",100.0,None,0,"[2.953212363108846, 3.941463927308451, 0.0]",100.0,assessment,0,"[24.452778735512126, 7.430766799504065, 4.481602159375206]",92.2239990234375,assessment,0,"[40.001566458381504, 4.295383564846347, 4.8552890412619]",88.6719970703125
245.64,,,2,4,0,None,0,"[3.0729137194724547, 1.9194451192556112, 0.0]",100.0,None,0,"[2.9516041640006843, 3.943251455280831, 0.0]",100.0,assessment,0,"[21.930558875855745, 8.48799314964662, 4.556974291150951]",90.75199890136719,assessment,0,"[40.02829196698542, 6.375705928964865, 4.917387059088132]",87.48799896240234
260.225,,,2,4,0,None,0,"[3.0731171377601134, 1.9194797618861232, 0.0]",100.0,None,0,"[2.950083853946859, 3.94488512456667, 0.0]",100.0,assessment,0,"[19.777798613582938, 8.01652499676151, 4.766202671310012]",89.7760009765625,assessment,0,"[38.659794620965826, 10.090009559203072, 4.621347276162616]",86.21600341796875
275.62,,,2,4,0,None,0,"[3.073444215366595, 1.9196247870661776, 0.0]",100.0,None,0,"[2.948584080719169, 3.9464890494262894, 0.0]",100.0,assessment,0,"[18.923341707364575, 7.47926932217076, 4.791105576462908]",89.7760009765625,assessment,0,"[38.327081216735074, 10.40709480443712, 6.31828001479602]",85.88800048828125
