,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.14,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
8.05,,0,4,0,None,0,"[3.0047843542541584, 1.0171529602331724, 0.0]",100,None,0,"[2.9987695673209056, 2.9840166002950053, 0.0]",100,None,0,"[0.99684392550467, 0.9983150120367124, 0.6572252445342716]",100,None,0,"[0.9663089628029907, 2.9701345313861567, 0.6816959997480906]",100
21.43,,0,4,0,None,0,"[3.013949486777411, 1.0361138819732232, 0.0]",100.0,None,0,"[2.9950651303391576, 2.968412722065363, 0.0]",100.0,None,0,"[0.9962056070332072, 0.9980244209230387, 0.657252439671643]",100.0,None,0,"[0.9667238649186779, 2.970284115053611, 0.6816578940726276]",100.0
35.055,,0,4,0,None,0,"[3.020647910973015, 1.0493947828274488, 0.0]",100.0,None,0,"[2.991810146567564, 2.9526551968221675, 0.0]",100.0,None,0,"[0.9960010381796204, 0.9976418057097021, 0.657196534702653]",100.0,None,0,"[0.9675447313170482, 2.970387732302962, 0.6816805150531114]",100.0
48.2,,0,4,0,None,0,"[3.027770091610339, 1.0616131471860737, 0.0]",100.0,None,0,"[2.9898176442153868, 2.936332645485137, 0.0]",100.0,None,0,"[0.9960013955991304, 0.9975747035844572, 0.6571791208569975]",100.0,None,0,"[0.968491803730665, 2.9706226824096844, 0.6817158720991436]",100.0
60.33,,0,4,0,None,0,"[3.034844743326171, 1.0724673385615602, 0.0]",100.0,None,0,"[2.9864781703385055, 2.920581883137783, 0.0]",100.0,None,0,"[0.9958844688699116, 0.9978609182569428, 0.6572280794588667]",100.0,None,0,"[0.9689688848883551, 2.9706563768949703, 0.6817222006108411]",100.0
73.11,,0,4,0,None,0,"[3.042944411638864, 1.0836398145738468, 0.0]",100.0,None,0,"[2.980305866901139, 2.9074366320401173, 0.0]",100.0,None,0,"[0.9959623857986873, 0.9977071854703381, 0.6572199951883473]",100.0,None,0,"[0.9697023599478494, 2.970776851343587, 0.6817431241710394]",100.0
86.2,,0,4,0,None,0,"[3.051926510146366, 1.0948509120758916, 0.0]",100.0,None,0,"[2.964758864367332, 2.8871961610290415, 0.0]",100.0,None,0,"[0.9962388632388043, 0.9973884197172901, 0.6572290205682428]",100.0,None,0,"[0.9705410210373387, 2.9708100964887265, 0.6817640497342098]",100.0
99.15,,0,4,0,None,0,"[3.0614967387130387, 1.1058421385494184, 0.0]",100.0,None,0,"[2.924632086155174, 2.8270866627164994, 0.0]",100.0,None,0,"[0.9980697312559028, 0.9975728008272688, 0.6572002753921218]",100.0,None,0,"[0.971278614356576, 2.9709458657010535, 0.681785477674221]",100.0
