,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.005,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.17,,pioneer3at_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.355,,UAV_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
7.4,,,0,4,0,None,0,"[3.0044205798848567, 1.9885051922973278, 0.0]",100,None,0,"[2.9982553083433965, 3.9797059144679343, 0.0]",100,None,0,"[0.9925489833838719, 1.9779117154574697, 0.6608286814779597]",100,None,0,"[0.9555561495173679, 3.855362555526178, 0.7104837256859953]",100
20.67,,,0,4,0,None,0,"[3.0119246794567287, 1.973652761392534, 0.0]",100.0,None,0,"[2.9956673637185465, 3.9615683798619936, 0.0]",100.0,None,0,"[0.990845250631233, 1.974093464963193, 0.6607246701836158]",100.0,None,0,"[0.9577008573458269, 3.8525832126087343, 0.7102834379508753]",100.0
34.305,,,0,4,0,None,0,"[3.0195305997242854, 1.9609973223844532, 0.0]",100.0,None,0,"[2.991712621326596, 3.9444069635763035, 0.0]",100.0,None,0,"[0.9900330505984073, 1.9721514208208106, 0.6607087275627084]",100.0,None,0,"[0.9596049280876768, 3.849031991939111, 0.7101070751371598]",100.0
35.535,,,1,4,0,None,0,"[3.020217696432414, 1.959975880102872, 0.0]",100.0,None,0,"[2.9914833234011757, 3.944424773268571, 0.0]",100.0,None,0,"[0.9899641237128036, 1.9720420396730793, 0.6607223689355906]",100.0,None,0,"[0.9597846428930851, 3.8487336845073483, 0.7100943824353023]",100.0
38.11,uav_st_assess,UAV_2,1,4,0,None,0,"[3.0217869483898667, 1.9576958875920363, 0.0]",100.0,None,0,"[2.990737145980878, 3.9437762188680434, 0.0]",100.0,None,0,"[0.9897543358221818, 1.9716788563374075, 0.6607217934085675]",100.0,assessment,0,"[1.0056802163527598, 3.900613932309804, 1.526246154678113]",100.0
53.495,,,1,4,0,None,0,"[3.0311803830724426, 1.9463353100544787, 0.0]",100.0,None,0,"[2.9871308557113934, 3.942174734720886, 0.0]",100.0,None,0,"[0.9888119607668104, 1.9688518013116914, 0.6606378600159668]",100.0,assessment,0,"[1.5398740432459208, 3.902719040789355, 4.529264799492576]",99.08799743652344
69.63,,,1,4,0,None,0,"[3.038634027345057, 1.9394591745228076, 0.0]",100.0,None,0,"[2.983428884160835, 3.940626866660654, 0.0]",100.0,None,0,"[0.9882593822720847, 1.9661029954413385, 0.6605850099379236]",100.0,assessment,0,"[7.01453196639414, 4.435275796432399, 4.533275340675895]",98.3280029296875
83.85,,,1,4,0,None,0,"[3.0428116983921965, 1.9339001552463972, 0.0]",100.0,None,0,"[2.9780868175796527, 3.936280915330814, 0.0]",100.0,None,0,"[0.9880667525877738, 1.964009887440567, 0.6605480043912093]",100.0,assessment,0,"[12.125066788303684, 4.930281386415714, 4.533013782857083]",96.7760009765625
90.63,,,2,4,0,None,0,"[3.044500286548052, 1.9312222763780873, 0.0]",100.0,None,0,"[2.975616728366981, 3.934182387672537, 0.0]",100.0,None,0,"[0.9876256282404012, 1.9632204578238825, 0.6605487878517922]",100.0,assessment,0,"[15.061148391205993, 5.214675407100414, 4.537267124498514]",95.99199676513672
94.82,uav_st_assess,UAV_1,2,4,0,None,0,"[3.045957948207943, 1.9295417048147554, 0.0]",100.0,None,0,"[2.9741929473446254, 3.9329652830417206, 0.0]",100.0,assessment,0,"[1.0025390248261208, 1.9682226969230714, 1.500168298775621]",100.0,assessment,0,"[16.436969748268115, 5.34792906058009, 4.537409403764116]",95.99199676513672
112.6,,,2,4,0,None,0,"[3.0520242485947695, 1.9225371382254979, 0.0]",100.0,None,0,"[2.968523815443305, 3.929380568699881, 0.0]",100.0,assessment,0,"[6.421613339972353, 3.5903747595335944, 2.237395444940675]",98.76000213623047,assessment,0,"[23.047917121031254, 5.9882672158976, 4.538211359093099]",94.41600036621094
129.255,,,2,4,0,None,0,"[3.059373820651103, 1.9169217026767387, 0.0]",100.0,None,0,"[2.96373555996245, 3.930088173733185, 0.0]",100.0,assessment,0,"[12.41987205783626, 5.385798885447091, 2.931723060456642]",97.95999908447266,assessment,0,"[29.2698916732016, 6.590937328235305, 4.538547056969647]",93.6240005493164
144.55,,,2,4,0,None,0,"[3.0627859219212015, 1.9161238255937076, 0.0]",100.0,None,0,"[2.9619426168338254, 3.931975162507944, 0.0]",100.0,assessment,0,"[17.588059401436297, 6.932766898385147, 3.5841034188005922]",96.38400268554688,assessment,0,"[34.535479056216126, 7.100963158578714, 4.536759045870062]",92.0479965209961
159.74,,,2,4,0,None,0,"[3.0649345959924994, 1.9163029993435179, 0.0]",100.0,None,0,"[2.9605387608781766, 3.933566623428277, 0.0]",100.0,assessment,0,"[22.859982933603586, 8.510794137594596, 4.292746491822046]",95.5999984741211,assessment,0,"[40.08481625929109, 7.638477364173808, 4.537741237392859]",91.27200317382812
