,time,robot,robot_status,task,task_status
0,191,pioneer3at_1,busy,-,-
1,191,pioneer3at_1,busy,building2_0,executing
2,290,pioneer3at_1,idle,-,-
3,290,pioneer3at_1,idle,building2_0,finished
4,290,pioneer3at_1,busy,-,-
5,290,pioneer3at_1,busy,building2_1,executing
6,297,pioneer3at_1,busy,building2_1,aborted
7,297,pioneer3at_1,busy,exp_test_0,executing
8,419,pioneer3at_1,busy,exp_test_0,aborted
9,419,pioneer3at_1,busy,p1_rb_0,executing
10,436,pioneer3at_1,idle,-,-
11,436,pioneer3at_1,idle,p1_rb_0,aborted
12,436,pioneer3at_1,busy,-,-
13,436,pioneer3at_1,busy,exp_test_0,executing
14,470,pioneer3at_1,idle,-,-
15,470,pioneer3at_1,idle,exp_test_0,aborted
16,470,pioneer3at_1,busy,-,-
17,470,pioneer3at_1,busy,building2_1,executing
