,time,robot,robot_status,task,task_status
0,28,pioneer3at_2,busy,-,-
1,28,pioneer3at_2,busy,external1_0,executing
2,57,pioneer3at_2,idle,-,-
3,57,pioneer3at_2,idle,external1_0,aborted
4,57,pioneer3at_2,busy,-,-
5,57,pioneer3at_2,busy,external1_0,executing
6,57,pioneer3at_2,idle,-,-
7,57,pioneer3at_2,idle,external1_0,aborted
8,57,pioneer3at_2,busy,-,-
9,57,pioneer3at_2,busy,external1_0,executing
10,57,pioneer3at_2,idle,-,-
11,57,pioneer3at_2,idle,external1_0,aborted
12,58,pioneer3at_2,busy,-,-
13,58,pioneer3at_2,busy,external1_0,executing
14,58,pioneer3at_2,idle,-,-
15,58,pioneer3at_2,idle,external1_0,aborted
16,58,pioneer3at_2,busy,-,-
17,58,pioneer3at_2,busy,external1_0,executing
18,58,pioneer3at_2,idle,-,-
19,58,pioneer3at_2,idle,external1_0,aborted
20,58,pioneer3at_2,busy,-,-
21,58,pioneer3at_2,busy,external1_0,executing
22,58,pioneer3at_2,idle,-,-
23,58,pioneer3at_2,idle,external1_0,aborted
24,58,pioneer3at_2,busy,-,-
25,58,pioneer3at_2,busy,external1_0,executing
26,58,pioneer3at_2,idle,-,-
27,58,pioneer3at_2,idle,external1_0,aborted
28,58,pioneer3at_2,busy,-,-
29,58,pioneer3at_2,busy,external1_0,executing
30,58,pioneer3at_2,idle,-,-
31,58,pioneer3at_2,idle,external1_0,aborted
32,59,pioneer3at_2,busy,-,-
33,59,pioneer3at_2,busy,external1_0,executing
34,59,pioneer3at_2,idle,-,-
35,59,pioneer3at_2,idle,external1_0,aborted
36,59,pioneer3at_2,busy,-,-
37,59,pioneer3at_2,busy,external1_0,executing
38,59,pioneer3at_2,idle,-,-
39,59,pioneer3at_2,idle,external1_0,aborted
