,time,robot,robot_status,task,task_status
0,13,UAV_2,busy,-,-
1,13,UAV_2,busy,assessment1_0,executing
2,28,UAV_1,busy,-,-
3,28,UAV_1,busy,assessment2_0,executing
4,224,pioneer3at_2,busy,-,-
5,224,pioneer3at_2,busy,building2_0,executing
6,284,pioneer3at_1,busy,-,-
7,284,pioneer3at_1,busy,building1_0,executing
8,326,pioneer3at_2,idle,-,-
9,326,pioneer3at_2,idle,building2_0,finished
10,327,pioneer3at_2,busy,-,-
11,327,pioneer3at_2,busy,building2_1,executing
12,349,pioneer3at_1,idle,-,-
13,349,pioneer3at_1,idle,building1_0,finished
14,349,pioneer3at_1,busy,-,-
15,349,pioneer3at_1,busy,building1_1,executing
16,389,pioneer3at_1,busy,building1_1,suspended
17,417,pioneer3at_2,busy,building2_1,suspended
18,424,pioneer3at_1,busy,building1_1,executing
19,468,pioneer3at_1,idle,-,-
20,468,pioneer3at_1,idle,building1_1,finished
21,468,pioneer3at_1,busy,-,-
22,468,pioneer3at_1,busy,building1_2,executing
23,480,pioneer3at_2,busy,building2_1,executing
24,488,pioneer3at_2,idle,-,-
25,488,pioneer3at_2,idle,building2_1,finished
26,489,pioneer3at_2,busy,-,-
27,489,pioneer3at_2,busy,building2_2,executing
28,551,pioneer3at_2,idle,-,-
29,551,pioneer3at_2,idle,building2_2,finished
30,551,pioneer3at_2,busy,-,-
31,551,pioneer3at_2,busy,building2_3,executing
32,558,pioneer3at_1,idle,-,-
33,558,pioneer3at_1,idle,building1_2,finished
34,558,pioneer3at_1,busy,-,-
35,558,pioneer3at_1,busy,building1_3,executing
36,610,pioneer3at_1,idle,-,-
37,610,pioneer3at_1,idle,building1_3,finished
38,610,pioneer3at_1,busy,-,-
39,610,pioneer3at_1,busy,building1_4,executing
40,632,pioneer3at_2,idle,-,-
41,632,pioneer3at_2,idle,building2_3,finished
42,632,pioneer3at_2,busy,-,-
43,632,pioneer3at_2,busy,building2_4,executing
44,664,pioneer3at_1,idle,-,-
45,664,pioneer3at_1,idle,building1_4,finished
46,664,pioneer3at_1,busy,-,-
47,664,pioneer3at_1,busy,building1_5,executing
48,678,pioneer3at_2,idle,-,-
49,678,pioneer3at_2,idle,building2_4,finished
50,679,pioneer3at_2,busy,-,-
51,679,pioneer3at_2,busy,building2_5,executing
52,732,UAV_2,idle,-,-
53,732,UAV_2,idle,assessment1_0,finished
54,732,UAV_2,busy,-,-
55,732,UAV_2,busy,assessment1_1,executing
56,889,pioneer3at_1,busy,building1_5,suspended
57,1005,pioneer3at_2,unable,-,-
58,1005,pioneer3at_2,unable,building2_5,aborted
59,1005,pioneer3at_1,busy,building1_5,aborted
60,1005,pioneer3at_1,busy,building2_5,executing
61,1005,pioneer3at_1,busy,building2_5,suspended
62,1074,pioneer3at_1,busy,building2_5,executing
63,1097,pioneer3at_1,busy,building2_5,suspended
64,1268,UAV_1,unable,-,-
65,1268,UAV_1,unable,assessment2_0,aborted
66,1341,pioneer3at_1,busy,building2_5,executing
67,1423,pioneer3at_1,unable,-,-
