,time,robot,robot_status,task,task_status
0,144,pioneer3at_2,busy,building1_0,executing
1,148,pioneer3at_1,busy,building2_0,executing
2,191,pioneer3at_2,idle,building1_0,finished
3,192,pioneer3at_2,busy,building1_1,executing
4,231,pioneer3at_1,idle,building2_0,finished
5,234,pioneer3at_2,idle,building1_1,finished
6,234,pioneer3at_2,busy,building1_2,executing
7,306,pioneer3at_2,idle,building1_2,finished
8,306,pioneer3at_2,busy,building1_3,executing
9,317,pioneer3at_1,idle,building2_1,finished
10,317,pioneer3at_1,busy,building2_2,executing
11,354,pioneer3at_1,idle,building2_2,finished
12,354,pioneer3at_1,busy,building2_3,executing
