,time,robot,robot_status,task,task_status
0,50,UAV_2,busy,assessment1_0,executing
1,117,UAV_1,busy,assessment2_0,executing
2,775,UAV_2,idle,assessment1_0,finished
3,775,UAV_2,busy,assessment1_1,executing
4,801,pioneer3at_2,busy,building1_0,executing
5,845,pioneer3at_2,idle,building1_0,finished
6,845,pioneer3at_2,busy,building1_1,executing
7,903,pioneer3at_2,idle,building1_1,finished
8,903,pioneer3at_2,busy,building1_2,executing
9,960,pioneer3at_2,idle,building1_2,finished
10,961,pioneer3at_2,busy,building1_3,executing
11,1057,pioneer3at_2,idle,building1_3,finished
12,1057,pioneer3at_1,busy,building1_4,executing
13,1068,UAV_1,unable,-,-
14,1068,UAV_1,unable,assessment2_0,aborted
15,1104,pioneer3at_1,idle,building1_4,finished
16,1104,pioneer3at_1,busy,building1_5,executing
17,1178,UAV_1,unable,assessment2_0,aborted
18,1232,UAV_1,busy,assessment2_0,executing
19,1321,pioneer3at_1,busy,building1_5,suspended
20,1477,UAV_1,idle,assessment2_0,finished
21,1477,UAV_1,busy,assessment2_1,executing
22,1485,UAV_2,idle,assessment1_1,finished
23,1486,UAV_2,busy,assessment1_2,executing
24,1494,pioneer3at_1,busy,building1_5,executing
25,1507,pioneer3at_2,busy,building2_0,executing
26,1521,UAV_1,unable,-,-
27,1521,UAV_1,unable,assessment2_1,aborted
28,1646,pioneer3at_2,busy,building2_0,suspended
29,1661,UAV_2,unable,-,-
30,1661,UAV_2,unable,assessment1_2,aborted
31,1720,pioneer3at_2,busy,building2_0,executing
32,1728,pioneer3at_1,busy,building1_5,suspended
33,1737,pioneer3at_2,idle,building2_0,finished
34,1737,pioneer3at_2,busy,building2_1,executing
35,1835,pioneer3at_2,busy,building2_1,suspended
36,1991,UAV_2,busy,assessment1_2,executing
37,2026,pioneer3at_2,busy,building2_1,executing
38,2035,pioneer3at_2,idle,building2_1,finished
39,2035,pioneer3at_2,busy,building2_2,executing
40,2061,pioneer3at_1,busy,building1_5,executing
41,2123,pioneer3at_2,idle,building2_2,finished
42,2153,pioneer3at_2,busy,building2_3,suspended
43,2194,pioneer3at_2,busy,building2_3,executing
44,2195,pioneer3at_1,busy,building1_5,suspended
45,2224,pioneer3at_1,busy,building1_5,executing
46,2333,pioneer3at_2,idle,building2_3,finished
47,2333,pioneer3at_2,busy,building2_4,executing
48,2411,pioneer3at_2,idle,building2_4,finished
49,2415,pioneer3at_1,busy,building1_5,suspended
50,2423,UAV_2,idle,assessment1_2,finished
51,2423,UAV_2,busy,assessment1_3,executing
52,2514,pioneer3at_1,busy,building1_5,executing
53,2525,pioneer3at_1,busy,building1_5,suspended
54,2758,pioneer3at_1,unable,-,-
55,2758,pioneer3at_1,unable,building1_5,aborted
56,2758,pioneer3at_2,busy,building2_5,aborted
57,2758,pioneer3at_2,busy,building1_5,executing
58,2811,UAV_2,unable,-,-
59,2811,UAV_2,unable,assessment1_3,aborted
60,2811,pioneer3at_1,busy,building1_5,aborted
61,2811,pioneer3at_1,busy,building2_5,executing
62,2811,pioneer3at_1,busy,building2_5,suspended
63,2818,pioneer3at_2,busy,building1_5,suspended
64,2843,pioneer3at_2,busy,building1_5,executing
65,2952,pioneer3at_2,busy,building1_5,aborted
66,2952,pioneer3at_1,idle,building2_5,aborted
67,2952,pioneer3at_2,busy,building2_5,executing
68,2985,pioneer3at_2,busy,building2_5,suspended
69,3040,pioneer3at_2,busy,building2_5,executing
70,3061,UAV_2,busy,assessment1_3,executing
71,3066,pioneer3at_2,busy,building2_5,suspended
