,time,robot,robot_status,task,task_status
0,21:42:50,UAV_1,busy,m1_0,executing
1,21:43:15,pioneer3at_1,busy,m2_0,executing
2,21:44:04,pioneer3at_1,unable,-,-
3,21:44:05,pioneer3at_1,unable,m2_0,aborted
4,21:44:05,UAV_1,busy,m1_0,aborted
5,21:44:05,UAV_1,busy,m2_0,executing
6,21:45:34,pioneer3at_1,busy,m3_0,executing
7,21:45:50,UAV_1,busy,m2_0,suspended
8,21:46:50,pioneer3at_1,idle,m3_0,finished
9,21:46:50,UAV_1,busy,m2_0,aborted
10,21:46:50,pioneer3at_1,busy,m2_0,executing
11,21:46:51,UAV_1,busy,m1_0,executing
12,21:46:51,UAV_1,busy,m1_0,suspended
13,21:48:09,pioneer3at_1,idle,m2_0,finished
14,21:48:09,pioneer3at_1,busy,m2_1,executing
