,time,robot,robot_status,task,task_status
0,29,UAV_2,busy,-,-
1,29,UAV_2,busy,assessment1_0,executing
2,80,UAV_1,busy,-,-
3,80,UAV_1,busy,assessment2_0,executing
4,253,pioneer3at_2,busy,-,-
5,253,pioneer3at_2,busy,building2_0,executing
6,358,pioneer3at_2,idle,-,-
7,358,pioneer3at_2,idle,building2_0,finished
8,358,pioneer3at_2,busy,-,-
9,358,pioneer3at_2,busy,building2_1,executing
10,382,pioneer3at_1,busy,-,-
11,382,pioneer3at_1,busy,building1_0,executing
12,436,pioneer3at_1,idle,-,-
13,436,pioneer3at_1,idle,building1_0,finished
14,437,pioneer3at_1,busy,-,-
15,437,pioneer3at_1,busy,building1_1,executing
16,445,pioneer3at_2,busy,building2_1,suspended
17,480,pioneer3at_1,busy,building1_1,suspended
18,525,pioneer3at_2,busy,building2_1,executing
19,545,pioneer3at_2,idle,-,-
20,545,pioneer3at_2,idle,building2_1,finished
21,545,pioneer3at_2,busy,-,-
22,545,pioneer3at_2,busy,building2_2,executing
23,566,pioneer3at_1,busy,building1_1,executing
24,616,UAV_2,idle,-,-
25,616,UAV_2,idle,assessment1_0,finished
26,616,UAV_2,busy,-,-
27,616,UAV_2,busy,assessment1_1,executing
28,625,pioneer3at_2,idle,-,-
29,625,pioneer3at_2,idle,building2_2,finished
30,625,pioneer3at_2,busy,-,-
31,625,pioneer3at_2,busy,building2_3,executing
32,633,pioneer3at_1,idle,-,-
33,633,pioneer3at_1,idle,building1_1,finished
34,633,pioneer3at_1,busy,-,-
35,633,pioneer3at_1,busy,building1_2,executing
36,647,pioneer3at_2,busy,building2_3,aborted
37,647,pioneer3at_1,busy,building1_2,aborted
38,647,pioneer3at_2,busy,building1_2,executing
39,647,pioneer3at_1,busy,building2_3,executing
40,717,pioneer3at_1,idle,-,-
41,717,pioneer3at_1,idle,building2_3,finished
42,717,pioneer3at_1,busy,-,-
43,717,pioneer3at_1,busy,building2_4,executing
44,727,pioneer3at_2,busy,building1_2,suspended
45,746,pioneer3at_1,busy,building2_4,suspended
