,time,robot,robot_status,task,task_status
0,40,UAV_2,busy,-,-
1,40,UAV_2,busy,assessment2_0,executing
2,60,UAV_1,busy,-,-
3,60,UAV_1,busy,assessment1_0,executing
4,194,UAV_2,busy,assessment2_0,suspended
5,481,UAV_2,busy,assessment2_0,executing
6,512,pioneer3at_2,busy,-,-
7,512,pioneer3at_2,busy,building2_0,executing
8,547,pioneer3at_1,busy,-,-
9,547,pioneer3at_1,busy,building1_0,executing
10,613,pioneer3at_2,idle,-,-
11,613,pioneer3at_2,idle,building2_0,finished
12,613,pioneer3at_1,idle,-,-
13,613,pioneer3at_1,idle,building1_0,finished
14,613,pioneer3at_2,busy,-,-
15,613,pioneer3at_2,busy,building2_1,executing
16,613,pioneer3at_1,busy,-,-
17,613,pioneer3at_1,busy,building1_1,executing
18,635,pioneer3at_2,busy,building2_1,suspended
19,635,pioneer3at_2,busy,building2_1,executing
20,648,pioneer3at_2,busy,building2_1,suspended
21,648,pioneer3at_2,busy,building2_1,executing
22,672,pioneer3at_2,busy,building2_1,suspended
23,672,pioneer3at_2,busy,building2_1,executing
24,686,pioneer3at_2,busy,building2_1,suspended
25,687,pioneer3at_1,idle,-,-
26,687,pioneer3at_1,idle,building1_1,finished
27,688,pioneer3at_1,busy,-,-
28,688,pioneer3at_1,busy,building1_2,executing
29,751,pioneer3at_1,idle,-,-
30,751,pioneer3at_1,idle,building1_2,finished
31,751,pioneer3at_1,busy,-,-
32,751,pioneer3at_1,busy,building1_3,executing
33,802,pioneer3at_1,idle,-,-
34,802,pioneer3at_1,idle,building1_3,finished
35,802,pioneer3at_1,busy,-,-
36,802,pioneer3at_1,busy,building1_4,executing
37,817,pioneer3at_2,busy,building2_1,executing
38,856,pioneer3at_1,idle,-,-
39,856,pioneer3at_1,idle,building1_4,finished
40,857,pioneer3at_1,busy,-,-
41,857,pioneer3at_1,busy,building1_5,executing
42,865,pioneer3at_1,busy,building1_5,aborted
43,865,pioneer3at_1,busy,external1_0,executing
44,867,pioneer3at_2,idle,-,-
45,867,pioneer3at_2,idle,building2_1,finished
46,868,pioneer3at_2,busy,-,-
47,868,pioneer3at_2,busy,building2_2,executing
48,875,UAV_1,idle,-,-
49,875,UAV_1,idle,assessment1_0,finished
50,875,UAV_1,busy,-,-
51,875,UAV_1,busy,assessment1_1,executing
52,964,pioneer3at_1,busy,external1_0,suspended
53,980,pioneer3at_2,idle,-,-
54,980,pioneer3at_2,idle,building2_2,finished
55,981,pioneer3at_2,busy,-,-
56,981,pioneer3at_2,busy,building2_3,executing
57,983,UAV_2,busy,assessment2_0,suspended
58,1062,pioneer3at_2,idle,-,-
59,1062,pioneer3at_2,idle,building2_3,finished
60,1062,pioneer3at_2,busy,-,-
61,1062,pioneer3at_2,busy,building2_4,executing
62,1081,UAV_2,busy,assessment2_0,executing
63,1101,pioneer3at_1,busy,external1_0,executing
64,1110,pioneer3at_2,idle,-,-
65,1110,pioneer3at_2,idle,building2_4,finished
66,1111,pioneer3at_2,busy,-,-
67,1111,pioneer3at_2,busy,building2_5,executing
68,1143,pioneer3at_1,idle,-,-
69,1143,pioneer3at_1,idle,external1_0,finished
70,1144,pioneer3at_1,busy,-,-
71,1144,pioneer3at_1,busy,building1_5,executing
72,1323,pioneer3at_2,busy,building2_5,suspended
73,1499,pioneer3at_2,busy,building2_5,executing
74,1598,pioneer3at_1,unable,-,-
75,1598,pioneer3at_1,unable,building1_5,aborted
76,1743,pioneer3at_2,unable,-,-
77,1849,UAV_1,idle,-,-
78,1849,UAV_1,idle,assessment1_1,finished
79,1849,UAV_1,busy,-,-
80,1849,UAV_1,busy,assessment1_2,executing
81,2025,pioneer3at_2,unable,building2_5,aborted
82,2042,UAV_1,busy,assessment1_2,aborted
83,2042,UAV_1,busy,external2_0,executing
84,2050,UAV_2,idle,-,-
85,2050,UAV_2,idle,assessment2_0,finished
86,2050,UAV_2,busy,-,-
87,2050,UAV_2,busy,assessment2_1,executing
88,2094,UAV_1,busy,external2_0,suspended
89,2230,UAV_1,unable,-,-
90,2230,UAV_1,unable,external2_0,aborted
91,2230,UAV_2,busy,assessment2_1,aborted
92,2230,UAV_2,busy,external2_0,executing
93,2347,UAV_2,unable,-,-
94,2347,UAV_2,unable,external2_0,aborted
