,time,robot,robot_status,task,task_status
0,33,UAV_2,busy,assessment1_0,executing
1,277,pioneer3at_2,busy,building2_0,executing
2,381,pioneer3at_2,idle,building2_0,finished
3,382,pioneer3at_2,busy,building2_1,executing
4,407,pioneer3at_2,busy,building2_1,suspended
5,408,pioneer3at_2,busy,building2_1,executing
6,420,pioneer3at_2,busy,building2_1,suspended
7,421,pioneer3at_2,busy,building2_1,executing
8,447,pioneer3at_2,busy,building2_1,suspended
9,448,pioneer3at_2,busy,building2_1,executing
10,474,pioneer3at_2,busy,building2_1,suspended
11,542,pioneer3at_2,busy,building2_1,executing
12,554,pioneer3at_2,idle,building2_1,finished
13,554,pioneer3at_2,busy,building2_2,executing
14,616,pioneer3at_2,idle,building2_2,finished
15,616,pioneer3at_2,busy,building2_3,executing
16,638,UAV_2,idle,assessment1_0,finished
17,639,UAV_2,busy,assessment1_1,executing
18,653,pioneer3at_1,busy,building1_0,executing
19,673,pioneer3at_2,unable,-,-
20,694,pioneer3at_2,unable,building2_3,finished
21,695,pioneer3at_1,busy,building1_0,aborted
22,695,pioneer3at_1,busy,building2_4,executing
23,695,UAV_1,busy,building1_0,executing
24,766,UAV_1,idle,building1_0,finished
25,767,UAV_1,busy,building1_1,executing
26,799,pioneer3at_1,idle,building2_4,finished
27,799,pioneer3at_1,busy,building2_5,executing
28,822,UAV_1,idle,building1_1,finished
29,823,UAV_1,busy,building1_2,executing
30,884,UAV_1,idle,building1_2,finished
31,884,UAV_1,busy,building1_3,executing
32,938,UAV_1,idle,building1_3,finished
33,938,UAV_1,busy,building1_4,executing
34,970,UAV_1,busy,building1_4,aborted
35,970,UAV_1,busy,external1_0,executing
36,981,pioneer3at_1,busy,building2_5,suspended
37,1074,pioneer3at_1,busy,building2_5,executing
38,1090,pioneer3at_1,busy,building2_5,aborted
39,1090,pioneer3at_1,busy,external2_0,executing
40,1200,UAV_1,busy,external1_0,suspended
41,1219,pioneer3at_1,busy,external2_0,suspended
42,1416,pioneer3at_1,busy,external2_0,executing
43,1446,pioneer3at_1,idle,external2_0,finished
44,1446,pioneer3at_1,busy,building2_5,executing
45,1471,UAV_1,busy,external1_0,executing
46,1549,UAV_2,idle,assessment1_1,finished
47,1549,UAV_2,busy,assessment1_2,executing
48,1584,UAV_2,unable,-,-
49,1584,UAV_2,unable,assessment1_2,aborted
50,1708,pioneer3at_1,unable,-,-
51,1731,UAV_1,idle,external1_0,finished
52,1732,UAV_1,busy,assessment1_2,executing
53,1851,UAV_1,unable,-,-
54,1851,UAV_1,unable,assessment1_2,aborted
55,1978,pioneer3at_1,unable,building2_5,aborted
56,2111,UAV_1,busy,assessment1_2,executing
57,2933,UAV_1,unable,-,-
58,2933,UAV_1,unable,assessment1_2,aborted
59,3178,UAV_1,unable,assessment1_2,aborted
