,time,robot,robot_status,task,task_status
0,31,UAV_1,busy,-,-
1,31,UAV_1,busy,first_view_0,executing
2,149,UAV_2,busy,-,-
3,149,UAV_2,busy,assessment1_0,executing
4,181,UAV_1,idle,-,-
5,181,UAV_1,idle,first_view_0,finished
6,225,UAV_1,busy,-,-
7,225,UAV_1,busy,assessment2_0,executing
8,279,pioneer3at_2,busy,-,-
9,279,pioneer3at_2,busy,building1_0,executing
10,328,pioneer3at_2,idle,-,-
11,328,pioneer3at_2,idle,building1_0,finished
12,329,pioneer3at_2,busy,-,-
13,329,pioneer3at_2,busy,building1_1,executing
14,384,pioneer3at_1,busy,-,-
15,384,pioneer3at_1,busy,building2_0,executing
16,403,pioneer3at_2,idle,-,-
17,403,pioneer3at_2,idle,building1_1,finished
18,403,pioneer3at_2,busy,-,-
19,403,pioneer3at_2,busy,building1_2,executing
20,463,pioneer3at_2,idle,-,-
21,463,pioneer3at_2,idle,building1_2,finished
22,464,pioneer3at_2,busy,-,-
23,464,pioneer3at_2,busy,building1_3,executing
24,485,pioneer3at_1,idle,-,-
25,485,pioneer3at_1,idle,building2_0,finished
26,485,pioneer3at_1,busy,-,-
27,485,pioneer3at_1,busy,building2_1,executing
28,515,pioneer3at_2,idle,-,-
29,515,pioneer3at_2,idle,building1_3,finished
30,515,pioneer3at_2,busy,-,-
31,515,pioneer3at_2,busy,building1_4,executing
32,532,pioneer3at_2,busy,building1_4,suspended
33,598,pioneer3at_1,busy,building2_1,suspended
34,663,pioneer3at_2,busy,building1_4,executing
35,692,pioneer3at_2,busy,building1_4,suspended
36,704,pioneer3at_1,busy,building2_1,executing
37,721,pioneer3at_1,idle,-,-
38,721,pioneer3at_1,idle,building2_1,finished
39,722,pioneer3at_1,busy,-,-
40,722,pioneer3at_1,busy,building2_2,executing
41,780,pioneer3at_1,idle,-,-
42,780,pioneer3at_1,idle,building2_2,finished
43,781,pioneer3at_1,busy,-,-
44,814,pioneer3at_2,busy,building1_4,executing
45,857,pioneer3at_1,idle,-,-
46,857,pioneer3at_1,idle,building2_3,finished
47,858,pioneer3at_1,busy,-,-
48,858,pioneer3at_1,busy,building2_4,executing
49,892,pioneer3at_2,busy,building1_4,suspended
50,892,UAV_2,idle,-,-
51,892,UAV_2,idle,assessment1_0,finished
52,892,UAV_2,busy,-,-
53,892,UAV_2,busy,assessment1_1,executing
54,907,pioneer3at_1,idle,-,-
55,907,pioneer3at_1,idle,building2_4,finished
56,907,pioneer3at_1,busy,-,-
57,907,pioneer3at_1,busy,building2_5,executing
58,1012,pioneer3at_2,busy,building1_4,executing
59,1025,pioneer3at_2,idle,-,-
60,1025,pioneer3at_2,idle,building1_4,finished
61,1026,pioneer3at_2,busy,-,-
62,1026,pioneer3at_2,busy,building1_5,executing
63,1047,UAV_1,busy,assessment2_0,aborted
64,1047,UAV_1,busy,external2_0,executing
65,1209,pioneer3at_1,busy,building2_5,suspended
66,1302,UAV_1,unable,-,-
67,1302,UAV_1,unable,external2_0,aborted
68,1303,UAV_2,busy,assessment1_1,aborted
69,1303,UAV_2,busy,external2_0,executing
70,1327,pioneer3at_1,busy,building2_5,executing
71,1390,UAV_2,busy,external2_0,suspended
72,1671,UAV_2,busy,external2_0,executing
73,1676,pioneer3at_2,unable,-,-
74,1676,pioneer3at_2,unable,building1_5,aborted
75,1676,pioneer3at_1,busy,building2_5,aborted
76,1676,pioneer3at_1,busy,building1_5,executing
77,1732,UAV_2,unable,-,-
78,1732,UAV_2,unable,external2_0,aborted
79,1732,pioneer3at_1,busy,building1_5,aborted
80,1732,pioneer3at_1,busy,external2_0,executing
81,1746,pioneer3at_1,unable,-,-
82,1746,pioneer3at_1,unable,external2_0,aborted
