,time,robot,robot_status,task,task_status
0,68,UAV_2,busy,assessment1_0,executing
1,115,UAV_1,busy,assessment1_0,executing
2,115,UAV_2,busy,assessment1_0,aborted
3,115,UAV_2,busy,assessment2_0,executing
4,1116,UAV_1,idle,assessment1_0,finished
5,1194,pioneer3at_2,busy,building1_0,executing
6,1251,pioneer3at_2,idle,building1_0,finished
7,1252,pioneer3at_2,busy,building1_1,executing
8,1324,pioneer3at_2,idle,building1_1,finished
9,1341,UAV_2,unable,-,-
10,1341,UAV_2,unable,assessment2_0,aborted
11,1384,pioneer3at_2,idle,building1_2,finished
12,1384,pioneer3at_2,busy,building1_3,executing
13,1423,UAV_2,unable,assessment2_0,aborted
14,1423,pioneer3at_2,idle,building1_3,finished
15,1423,pioneer3at_2,busy,building1_4,executing
16,1436,pioneer3at_2,busy,building1_4,suspended
17,1449,pioneer3at_1,busy,building2_0,executing
18,1531,pioneer3at_1,idle,building2_0,finished
19,1531,pioneer3at_1,busy,building2_1,executing
20,1589,UAV_1,unable,-,-
21,1589,UAV_1,unable,assessment1_1,aborted
22,1605,pioneer3at_1,busy,building2_1,suspended
23,1630,pioneer3at_2,busy,building1_4,executing
24,1666,pioneer3at_2,idle,building1_4,finished
25,1666,pioneer3at_2,busy,building1_5,executing
26,1667,pioneer3at_1,busy,building2_1,executing
27,1679,pioneer3at_1,idle,building2_1,finished
28,1679,pioneer3at_1,busy,building2_2,executing
29,1778,pioneer3at_1,idle,building2_2,finished
30,1799,UAV_1,busy,assessment1_1,executing
31,1846,pioneer3at_1,idle,building2_3,finished
32,1846,pioneer3at_1,busy,building2_4,executing
33,1885,pioneer3at_1,idle,building2_4,finished
34,1885,pioneer3at_1,busy,building2_5,executing
35,1988,pioneer3at_1,busy,building2_5,suspended
36,2055,pioneer3at_1,busy,building2_5,executing
37,2095,pioneer3at_2,busy,building1_5,suspended
38,2235,pioneer3at_2,busy,building1_5,executing
39,2288,UAV_1,idle,assessment1_1,finished
40,2288,UAV_1,busy,assessment1_2,executing
41,2353,pioneer3at_1,busy,building2_5,suspended
42,2354,pioneer3at_1,busy,building2_5,executing
43,2579,UAV_1,unable,-,-
44,2579,UAV_1,unable,assessment1_2,aborted
45,2721,pioneer3at_2,unable,-,-
46,2721,pioneer3at_2,unable,building1_5,aborted
47,2722,pioneer3at_1,busy,building2_5,aborted
48,2722,pioneer3at_1,busy,building1_5,executing
49,2732,pioneer3at_1,busy,building1_5,aborted
50,2732,pioneer3at_1,busy,building2_5,executing
51,2733,pioneer3at_1,busy,building2_5,suspended
52,2835,pioneer3at_1,busy,building2_5,executing
53,2869,pioneer3at_2,unable,-,-
54,2922,pioneer3at_2,unable,building1_5,suspended
