,time,robot,robot_status,task,task_status
0,23:17:00,UAV_2,busy,assessment1_0,executing
1,23:18:08,UAV_1,busy,assessment1_0,executing
2,23:18:08,UAV_2,idle,assessment1_0,aborted
3,23:18:08,pioneer3at_2,busy,building1_0,executing
4,23:19:06,pioneer3at_2,idle,building1_0,finished
5,23:19:06,UAV_2,busy,building1_1,executing
6,23:19:37,UAV_2,idle,building1_1,finished
7,23:19:37,UAV_2,busy,building1_2,executing
8,23:19:56,pioneer3at_2,busy,building2_0,executing
9,23:20:22,UAV_2,idle,building1_2,finished
10,23:20:23,UAV_2,busy,building1_3,executing
11,23:21:01,pioneer3at_2,idle,building2_0,finished
12,23:21:01,pioneer3at_2,busy,building2_1,executing
13,23:21:15,UAV_2,idle,building1_3,finished
14,23:21:15,pioneer3at_1,busy,building1_4,executing
15,23:21:53,UAV_1,idle,assessment1_0,finished
16,23:21:53,UAV_2,busy,assessment1_1,executing
17,23:22:06,pioneer3at_2,busy,building2_1,suspended
18,23:22:18,pioneer3at_2,busy,building2_1,executing
19,23:22:33,pioneer3at_1,busy,building1_4,suspended
20,23:22:40,pioneer3at_2,busy,building2_1,suspended
21,23:22:46,pioneer3at_1,busy,building1_4,executing
22,23:22:53,pioneer3at_2,busy,building2_1,executing
23,23:23:16,pioneer3at_2,idle,building2_1,finished
24,23:23:16,pioneer3at_2,busy,building2_2,executing
25,23:24:14,UAV_2,idle,assessment1_1,finished
26,23:24:14,UAV_2,busy,assessment1_2,executing
27,23:27:00,UAV_2,busy,assessment1_2,suspended
28,23:28:24,pioneer3at_2,idle,building2_2,finished
29,23:28:24,UAV_1,busy,building2_3,executing
30,23:28:37,UAV_2,unable,-,-
31,23:28:37,UAV_2,unable,assessment1_2,aborted
32,23:28:37,UAV_1,busy,building2_3,aborted
33,23:28:37,UAV_1,busy,assessment1_2,executing
34,23:28:37,pioneer3at_2,busy,building2_3,executing
35,23:29:15,pioneer3at_2,busy,building2_3,suspended
36,23:32:27,UAV_1,idle,assessment1_2,finished
37,23:33:25,UAV_1,idle,assessment1_3,finished
38,23:33:56,pioneer3at_1,busy,building1_4,suspended
39,23:34:09,pioneer3at_1,busy,building1_4,executing
