,time,robot,robot_status,task,task_status
0,30,UAV_2,busy,-,-
1,30,UAV_2,busy,assessment1_0,executing
2,51,UAV_1,busy,-,-
3,51,UAV_1,busy,assessment2_0,executing
4,277,pioneer3at_2,busy,-,-
5,277,pioneer3at_2,busy,building2_0,executing
6,381,pioneer3at_2,idle,-,-
7,381,pioneer3at_2,idle,building2_0,finished
8,381,pioneer3at_2,busy,-,-
9,381,pioneer3at_2,busy,building2_1,executing
10,413,pioneer3at_1,busy,-,-
11,413,pioneer3at_1,busy,building1_0,executing
12,465,pioneer3at_1,idle,-,-
13,465,pioneer3at_1,idle,building1_0,finished
14,465,pioneer3at_1,busy,-,-
15,465,pioneer3at_1,busy,building1_1,executing
16,510,pioneer3at_2,idle,-,-
17,510,pioneer3at_2,idle,building2_1,finished
18,511,pioneer3at_2,busy,-,-
19,511,pioneer3at_2,busy,building2_2,executing
20,523,UAV_2,idle,-,-
21,523,UAV_2,idle,assessment1_0,finished
22,523,UAV_2,busy,-,-
23,523,UAV_2,busy,assessment1_1,executing
24,549,pioneer3at_1,idle,-,-
25,549,pioneer3at_1,idle,building1_1,finished
26,549,pioneer3at_1,busy,-,-
27,549,pioneer3at_1,busy,building1_2,executing
28,570,pioneer3at_2,idle,-,-
29,570,pioneer3at_2,idle,building2_2,finished
30,570,pioneer3at_2,busy,-,-
31,570,pioneer3at_2,busy,building2_3,executing
32,585,pioneer3at_2,busy,building2_3,aborted
33,585,pioneer3at_1,busy,building1_2,aborted
34,585,pioneer3at_1,busy,building2_3,executing
35,620,pioneer3at_1,idle,-,-
36,620,pioneer3at_1,idle,building2_3,finished
37,620,pioneer3at_1,busy,-,-
38,620,pioneer3at_1,busy,building2_4,executing
39,646,pioneer3at_2,idle,-,-
40,646,pioneer3at_2,idle,building1_2,finished
41,647,pioneer3at_2,busy,-,-
42,647,pioneer3at_2,busy,building1_3,executing
43,648,UAV_1,busy,assessment2_0,suspended
44,682,pioneer3at_1,idle,-,-
45,682,pioneer3at_1,idle,building2_4,finished
46,683,pioneer3at_1,busy,-,-
47,683,pioneer3at_1,busy,building2_5,executing
48,725,pioneer3at_2,idle,-,-
49,725,pioneer3at_2,idle,building1_3,finished
50,726,pioneer3at_2,busy,-,-
51,726,pioneer3at_2,busy,building1_4,executing
52,740,UAV_1,busy,assessment2_0,executing
53,765,UAV_1,busy,assessment2_0,aborted
54,765,UAV_1,busy,external1_0,executing
55,793,pioneer3at_2,idle,-,-
56,793,pioneer3at_2,idle,building1_4,finished
57,794,pioneer3at_1,busy,building2_5,aborted
58,794,pioneer3at_1,busy,building1_5,executing
59,855,UAV_1,unable,-,-
60,855,UAV_1,unable,external1_0,aborted
61,855,UAV_2,busy,assessment1_1,aborted
62,855,UAV_2,busy,external1_0,executing
63,920,pioneer3at_2,busy,-,-
64,920,pioneer3at_2,busy,p2_rb_0,executing
65,987,pioneer3at_2,idle,-,-
66,987,pioneer3at_2,idle,p2_rb_0,finished
67,1012,pioneer3at_1,busy,building1_5,suspended
68,1074,UAV_2,busy,external1_0,suspended
69,1183,pioneer3at_1,busy,building1_5,executing
70,1323,UAV_2,busy,external1_0,executing
71,1338,UAV_2,unable,-,-
72,1338,UAV_2,unable,external1_0,aborted
73,1338,pioneer3at_1,busy,building1_5,aborted
74,1338,pioneer3at_1,busy,external1_0,executing
