,time,robot,robot_status,task,task_status
0,35,UAV_2,busy,-,-
1,35,UAV_2,busy,assessment1_0,executing
2,58,UAV_1,busy,-,-
3,58,UAV_1,busy,assessment2_0,executing
4,349,UAV_1,busy,assessment2_0,suspended
5,516,UAV_1,busy,assessment2_0,executing
6,587,UAV_2,idle,-,-
7,588,UAV_2,idle,assessment1_0,finished
8,588,UAV_2,busy,-,-
9,700,pioneer3at_1,busy,-,-
10,700,pioneer3at_1,busy,building2_0,executing
11,705,pioneer3at_2,busy,-,-
12,705,pioneer3at_2,busy,building1_0,executing
13,786,pioneer3at_2,idle,-,-
14,786,pioneer3at_2,idle,building1_0,finished
15,786,pioneer3at_2,busy,-,-
16,786,pioneer3at_2,busy,building1_1,executing
17,810,pioneer3at_1,idle,-,-
18,810,pioneer3at_1,idle,building2_0,finished
19,811,pioneer3at_1,busy,-,-
20,811,pioneer3at_1,busy,building2_1,executing
21,881,pioneer3at_2,idle,-,-
22,881,pioneer3at_2,idle,building1_1,finished
23,881,pioneer3at_2,busy,-,-
24,881,pioneer3at_2,busy,building1_2,executing
25,941,pioneer3at_2,idle,-,-
26,941,pioneer3at_2,idle,building1_2,finished
27,941,pioneer3at_2,busy,-,-
28,941,pioneer3at_2,busy,building1_3,executing
29,949,pioneer3at_1,idle,-,-
30,949,pioneer3at_1,idle,building2_1,finished
31,949,pioneer3at_1,busy,-,-
32,949,pioneer3at_1,busy,building2_2,executing
33,993,pioneer3at_1,busy,building2_2,aborted
34,993,pioneer3at_2,busy,building1_3,aborted
35,993,pioneer3at_2,busy,building2_2,executing
36,993,pioneer3at_1,busy,building1_3,executing
37,1100,pioneer3at_2,idle,-,-
38,1100,pioneer3at_2,idle,building2_2,finished
39,1101,pioneer3at_2,busy,-,-
40,1101,pioneer3at_2,busy,building2_3,executing
41,1115,pioneer3at_1,unable,-,-
42,1115,pioneer3at_1,unable,building1_3,aborted
43,1115,UAV_1,busy,assessment2_0,aborted
44,1115,UAV_1,busy,building1_3,executing
45,1137,pioneer3at_2,busy,building2_3,aborted
46,1137,pioneer3at_2,busy,external2_0,executing
47,1182,UAV_1,unable,-,-
48,1182,UAV_1,unable,building1_3,aborted
49,1182,UAV_2,busy,assessment1_1,aborted
50,1182,UAV_2,busy,building1_3,executing
51,1197,UAV_2,busy,building1_3,aborted
52,1197,UAV_2,busy,external1_0,executing
53,1450,UAV_2,busy,external1_0,suspended
54,1518,pioneer3at_2,busy,external2_0,suspended
55,1587,UAV_2,unable,-,-
56,1587,UAV_2,unable,external1_0,aborted
57,1743,pioneer3at_2,unable,-,-
58,1743,pioneer3at_2,unable,external2_0,aborted
