,time,robot,robot_status,task,task_status
0,25,UAV_2,busy,-,-
1,25,UAV_2,busy,assessment2_0,executing
2,94,UAV_1,busy,-,-
3,94,UAV_1,busy,assessment1_0,executing
4,397,pioneer3at_2,busy,-,-
5,397,pioneer3at_2,busy,building2_0,executing
6,497,pioneer3at_2,idle,-,-
7,497,pioneer3at_2,idle,building2_0,finished
8,498,pioneer3at_2,busy,-,-
9,498,pioneer3at_2,busy,building2_1,executing
10,549,pioneer3at_1,busy,-,-
11,549,pioneer3at_1,busy,building1_0,executing
12,602,pioneer3at_2,busy,building2_1,suspended
13,613,pioneer3at_1,idle,-,-
14,613,pioneer3at_1,idle,building1_0,finished
15,613,pioneer3at_1,busy,-,-
16,613,pioneer3at_1,busy,building1_1,executing
17,669,UAV_1,idle,-,-
18,669,UAV_1,idle,assessment1_0,finished
19,670,UAV_1,busy,-,-
20,670,UAV_1,busy,assessment1_1,executing
21,673,pioneer3at_2,busy,building2_1,executing
22,685,pioneer3at_1,idle,-,-
23,685,pioneer3at_1,idle,building1_1,finished
24,686,pioneer3at_1,busy,-,-
25,686,pioneer3at_1,busy,building1_2,executing
26,687,pioneer3at_2,idle,-,-
27,687,pioneer3at_2,idle,building2_1,finished
28,687,pioneer3at_2,busy,-,-
29,742,UAV_2,unable,-,-
30,742,UAV_2,unable,assessment2_0,aborted
31,748,pioneer3at_2,idle,-,-
32,748,pioneer3at_2,idle,building2_2,finished
33,749,pioneer3at_2,busy,-,-
34,749,pioneer3at_2,busy,building2_3,executing
35,760,pioneer3at_1,idle,-,-
36,760,pioneer3at_1,idle,building1_2,finished
37,760,pioneer3at_1,busy,-,-
38,760,pioneer3at_1,busy,building1_3,executing
39,775,pioneer3at_2,busy,building2_3,aborted
40,775,pioneer3at_2,busy,building1_3,executing
41,775,pioneer3at_1,busy,building1_3,aborted
42,775,pioneer3at_1,busy,building2_3,executing
43,807,UAV_1,busy,assessment1_1,aborted
44,807,UAV_1,busy,external1_0,executing
45,840,pioneer3at_1,idle,-,-
46,840,pioneer3at_1,idle,building2_3,finished
47,841,pioneer3at_1,busy,-,-
48,841,pioneer3at_1,busy,building2_4,executing
49,846,pioneer3at_2,busy,building1_3,suspended
50,902,pioneer3at_1,idle,-,-
51,902,pioneer3at_1,idle,building2_4,finished
52,903,pioneer3at_1,busy,-,-
53,903,pioneer3at_1,busy,building2_5,executing
54,925,pioneer3at_2,busy,building1_3,executing
55,967,pioneer3at_2,idle,-,-
56,967,pioneer3at_2,idle,building1_3,finished
57,967,pioneer3at_2,busy,-,-
58,967,pioneer3at_2,busy,building1_4,executing
59,1021,pioneer3at_1,busy,building2_5,aborted
60,1021,pioneer3at_1,busy,external2_0,executing
61,1026,pioneer3at_2,idle,-,-
62,1026,pioneer3at_2,idle,building1_4,finished
63,1039,UAV_1,busy,external1_0,suspended
64,1076,pioneer3at_2,busy,-,-
65,1076,pioneer3at_2,busy,p2_rb_0,executing
66,1104,pioneer3at_1,busy,external2_0,suspended
67,1136,pioneer3at_2,idle,-,-
68,1136,pioneer3at_2,idle,p2_rb_0,finished
69,1266,pioneer3at_1,unable,-,-
70,1266,pioneer3at_1,unable,external2_0,aborted
71,1292,UAV_1,busy,external1_0,executing
72,1462,UAV_1,unable,-,-
73,1462,UAV_1,unable,external1_0,aborted
