,time,robot,robot_status,task,task_status
0,59,UAV_2,busy,assessment1_0,executing
1,108,UAV_2,busy,assessment1_0,aborted
2,108,UAV_1,busy,assessment1_0,executing
3,108,UAV_2,busy,assessment2_0,executing
4,884,UAV_1,idle,assessment1_0,finished
5,885,UAV_1,busy,assessment1_1,executing
6,1033,pioneer3at_2,busy,building1_0,executing
7,1058,pioneer3at_2,busy,building1_0,suspended
8,1076,pioneer3at_2,busy,building1_0,executing
9,1139,pioneer3at_2,idle,building1_0,finished
10,1140,pioneer3at_2,busy,building1_1,executing
11,1170,UAV_2,idle,assessment2_0,finished
12,1171,UAV_2,busy,assessment2_1,executing
13,1196,pioneer3at_2,idle,building1_1,finished
14,1197,pioneer3at_2,busy,building1_2,executing
15,1268,pioneer3at_2,idle,building1_2,finished
16,1268,pioneer3at_2,busy,building1_3,executing
17,1278,pioneer3at_1,busy,building2_0,executing
18,1299,pioneer3at_2,busy,building1_3,suspended
19,1311,pioneer3at_2,busy,building1_3,executing
20,1361,pioneer3at_1,idle,building2_0,finished
21,1361,pioneer3at_1,busy,building2_1,executing
22,1394,UAV_2,unable,-,-
23,1394,UAV_2,unable,assessment2_1,aborted
24,1433,UAV_1,busy,assessment1_1,suspended
25,1436,pioneer3at_1,busy,building2_1,suspended
26,1445,pioneer3at_1,busy,building2_1,executing
27,1467,UAV_1,busy,assessment1_1,executing
28,1478,UAV_1,busy,assessment1_1,suspended
29,1491,UAV_1,busy,assessment1_1,executing
30,1515,pioneer3at_1,busy,building2_1,suspended
31,1524,pioneer3at_1,busy,building2_1,executing
32,1552,UAV_1,unable,-,-
33,1552,UAV_1,unable,assessment1_1,aborted
34,1556,UAV_2,busy,assessment1_1,executing
35,1558,pioneer3at_1,idle,building2_1,finished
36,1558,pioneer3at_1,busy,building2_2,executing
37,1741,pioneer3at_2,busy,building1_3,suspended
38,1750,pioneer3at_2,busy,building1_3,executing
39,1761,UAV_2,unable,-,-
40,1761,UAV_2,unable,assessment1_1,aborted
41,1782,UAV_1,busy,assessment1_1,executing
42,1789,pioneer3at_2,busy,building1_3,suspended
43,1799,pioneer3at_2,busy,building1_3,executing
44,1844,pioneer3at_2,busy,building1_3,suspended
45,1854,pioneer3at_2,busy,building1_3,executing
46,1894,pioneer3at_2,busy,building1_3,suspended
47,1905,pioneer3at_2,busy,building1_3,executing
48,1930,UAV_1,busy,assessment1_1,suspended
49,1946,pioneer3at_1,idle,building2_2,finished
50,1947,pioneer3at_1,busy,building2_3,executing
51,1949,UAV_1,busy,assessment1_1,executing
52,1965,pioneer3at_2,idle,building1_3,finished
53,1965,pioneer3at_2,busy,building1_4,executing
54,1965,UAV_1,busy,assessment1_1,suspended
55,1985,UAV_1,busy,assessment1_1,executing
56,1987,pioneer3at_1,busy,building2_3,suspended
57,1997,pioneer3at_2,busy,building1_4,suspended
58,2005,UAV_1,busy,assessment1_1,suspended
59,2023,UAV_1,busy,assessment1_1,executing
60,2058,UAV_1,busy,assessment1_1,suspended
61,2075,UAV_1,busy,assessment1_1,executing
62,2086,UAV_1,unable,-,-
63,2086,UAV_1,unable,assessment1_1,aborted
64,2193,pioneer3at_2,busy,building1_4,executing
65,2241,pioneer3at_2,busy,building1_4,suspended
66,2251,pioneer3at_2,busy,building1_4,executing
67,2310,pioneer3at_2,busy,building1_4,suspended
68,2320,pioneer3at_2,busy,building1_4,executing
