,time,robot,robot_status,task,task_status
0,48,UAV_2,busy,assessment1_0,executing
1,100,UAV_1,busy,assessment1_0,executing
2,100,UAV_2,busy,assessment1_0,aborted
3,100,UAV_2,busy,assessment2_0,executing
4,403,UAV_2,unable,-,-
5,403,UAV_2,unable,assessment2_0,aborted
6,666,UAV_2,unable,-,-
7,666,UAV_2,unable,assessment2_0,aborted
8,869,UAV_1,idle,assessment1_0,finished
9,869,UAV_1,busy,assessment1_1,executing
10,932,pioneer3at_2,busy,building1_0,executing
11,935,pioneer3at_1,busy,building2_0,executing
12,977,pioneer3at_2,idle,building1_0,finished
13,977,pioneer3at_2,busy,building1_1,executing
14,1017,pioneer3at_1,idle,building2_0,finished
15,1024,pioneer3at_2,idle,building1_1,finished
16,1082,pioneer3at_2,idle,building1_2,finished
17,1082,pioneer3at_2,busy,building1_3,executing
18,1114,pioneer3at_1,busy,building2_1,suspended
19,1128,pioneer3at_1,busy,building2_1,executing
20,1128,pioneer3at_2,idle,building1_3,finished
21,1129,pioneer3at_2,busy,building1_4,executing
22,1146,pioneer3at_1,idle,building2_1,finished
23,1146,pioneer3at_1,busy,building2_2,executing
24,1174,pioneer3at_2,idle,building1_4,finished
25,1174,pioneer3at_2,busy,building1_5,executing
26,1184,pioneer3at_1,idle,building2_2,finished
27,1251,pioneer3at_1,idle,building2_3,finished
28,1292,pioneer3at_1,idle,building2_4,finished
29,1467,pioneer3at_2,busy,building1_5,suspended
30,1481,pioneer3at_2,busy,building1_5,executing
31,1671,UAV_1,unable,-,-
32,1671,UAV_1,unable,assessment1_1,aborted
33,1692,pioneer3at_1,idle,building2_5,suspended
34,1692,pioneer3at_1,busy,building2_5,executing
35,1891,UAV_1,busy,assessment1_1,executing
36,2062,UAV_1,idle,assessment1_1,finished
37,2062,UAV_1,busy,assessment1_2,executing
38,2137,UAV_2,busy,assessment2_0,executing
39,2234,pioneer3at_2,busy,building1_5,suspended
40,2245,pioneer3at_2,busy,building1_5,executing
41,2395,UAV_1,busy,assessment1_2,suspended
42,2418,pioneer3at_2,unable,-,-
43,2469,pioneer3at_1,unable,-,-
44,2573,UAV_1,unable,-,-
45,2573,UAV_1,unable,assessment1_2,aborted
46,2573,UAV_2,busy,assessment2_0,aborted
47,2573,pioneer3at_1,unable,building2_5,aborted
48,2573,pioneer3at_2,unable,building1_5,aborted
49,2573,UAV_2,busy,assessment1_2,executing
