,time,robot,robot_status,task,task_status
0,35,UAV_2,busy,-,-
1,35,UAV_2,busy,assessment2_0,executing
2,90,UAV_1,busy,-,-
3,90,UAV_1,busy,assessment1_0,executing
4,367,pioneer3at_2,busy,-,-
5,367,pioneer3at_2,busy,building2_0,executing
6,467,pioneer3at_2,idle,-,-
7,467,pioneer3at_2,idle,building2_0,finished
8,468,pioneer3at_2,busy,-,-
9,468,pioneer3at_2,busy,building2_1,executing
10,510,pioneer3at_1,busy,-,-
11,510,pioneer3at_1,busy,building1_0,executing
12,601,pioneer3at_1,idle,-,-
13,601,pioneer3at_1,idle,building1_0,finished
14,601,pioneer3at_1,busy,-,-
15,601,pioneer3at_1,busy,building1_1,executing
16,611,pioneer3at_2,idle,-,-
17,611,pioneer3at_2,idle,building2_1,finished
18,611,pioneer3at_2,busy,-,-
19,611,pioneer3at_2,busy,building2_2,executing
20,636,UAV_2,unable,-,-
21,636,UAV_2,unable,assessment2_0,aborted
22,676,pioneer3at_1,idle,-,-
23,676,pioneer3at_1,idle,building1_1,finished
24,676,pioneer3at_1,busy,-,-
25,676,pioneer3at_1,busy,building1_2,executing
26,687,pioneer3at_2,idle,-,-
27,687,pioneer3at_2,idle,building2_2,finished
28,688,pioneer3at_2,busy,-,-
29,688,pioneer3at_2,busy,building2_3,executing
30,711,pioneer3at_2,busy,building2_3,aborted
31,711,pioneer3at_1,busy,building1_2,aborted
32,711,pioneer3at_1,busy,building2_3,executing
33,711,pioneer3at_2,busy,building1_2,executing
34,766,pioneer3at_2,idle,-,-
35,766,pioneer3at_2,idle,building1_2,finished
36,767,pioneer3at_2,busy,-,-
37,767,pioneer3at_2,busy,building1_3,executing
38,769,pioneer3at_1,idle,-,-
39,769,pioneer3at_1,idle,building2_3,finished
40,769,pioneer3at_1,busy,-,-
41,769,pioneer3at_1,busy,building2_4,executing
42,788,UAV_1,idle,-,-
43,788,UAV_1,idle,assessment1_0,finished
44,789,UAV_1,busy,-,-
45,789,UAV_1,busy,assessment1_1,executing
46,836,pioneer3at_2,idle,-,-
47,836,pioneer3at_2,idle,building1_3,finished
48,836,pioneer3at_2,busy,-,-
49,836,pioneer3at_2,busy,building1_4,executing
50,870,UAV_1,busy,assessment1_1,aborted
51,870,UAV_1,busy,external1_0,executing
52,889,pioneer3at_1,idle,-,-
53,889,pioneer3at_1,idle,building2_4,finished
54,890,pioneer3at_1,busy,-,-
55,890,pioneer3at_1,busy,building2_5,executing
56,894,pioneer3at_2,idle,-,-
57,894,pioneer3at_2,idle,building1_4,finished
58,894,pioneer3at_1,busy,building2_5,aborted
59,894,pioneer3at_1,busy,building1_5,executing
60,955,pioneer3at_2,busy,-,-
61,955,pioneer3at_2,busy,p2_rb_0,executing
62,985,pioneer3at_1,busy,building1_5,aborted
63,985,pioneer3at_1,busy,external2_0,executing
64,1020,pioneer3at_2,idle,-,-
65,1020,pioneer3at_2,idle,p2_rb_0,finished
66,1093,UAV_1,busy,external1_0,suspended
67,1253,pioneer3at_1,unable,-,-
68,1253,pioneer3at_1,unable,external2_0,aborted
69,1342,UAV_1,busy,external1_0,executing
70,1418,UAV_1,unable,-,-
71,1418,UAV_1,unable,external1_0,aborted
72,1586,pioneer3at_1,unable,external2_0,aborted
